Geographic_Area_Name,zipCode,Median_number_of_rooms_2011,Median_number_of_rooms_2012,Median_number_of_rooms_2013,Median_number_of_rooms_2014,Median_number_of_rooms_2015,Median_number_of_rooms_2016,Median_number_of_rooms_2017,Median_number_of_rooms_2018,Median_number_of_rooms_2019,Median_number_of_rooms_2020,Median_number_of_rooms_2021,Median_number_of_rooms_2022,Median_number_of_rooms_2023,Median_number_of_rooms_2024
ZCTA5 41099,41099,-,-,-,-,-,-,-,-,-,-,,,,
ZCTA5 41101,41101,5.5,5.5,5.6,5.5,5.6,5.7,5.7,5.7,5.9,5.8,5.8,5.9,5.8,5.7
ZCTA5 41102,41102,5.9,5.9,5.9,5.9,6.0,6.0,6.0,6.1,6.1,6.1,6.2,6.3,6.3,6.3
ZCTA5 41121,41121,5.2,5.3,5.3,5.4,5.3,5.4,5.5,5.7,5.7,6.6,6.4,6.4,6.1,5.9
ZCTA5 41124,41124,5.5,5.6,5.5,5.5,5.9,5.5,5.6,5.6,5.7,5.5,6.0,6.1,6.1,5.8
ZCTA5 41129,41129,6.0,6.1,6.1,6.3,6.3,6.1,6.1,6.3,6.2,6.3,6.4,6.6,6.3,6.5
ZCTA5 41132,41132,4.4,4.6,4.4,4.7,4.6,4.9,4.9,5.2,5.2,5.3,5.0,5.9,5.4,5.3
ZCTA5 41135,41135,6.6,7.1,4.9,5.0,5.2,5.3,5.2,5.2,5.2,5.1,5.2,5.3,5.4,5.3
ZCTA5 41139,41139,5.5,5.5,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.8,5.8,5.8,5.9,5.8
ZCTA5 41141,41141,5.1,5.1,5.2,5.2,5.2,5.3,5.1,5.3,5.3,5.6,5.7,5.8,5.7,6.2
ZCTA5 41142,41142,-,-,-,-,9.0+,9.0+,-,-,-,-,-,-,-,-
ZCTA5 41143,41143,5.3,5.3,5.4,5.4,5.5,5.7,5.7,5.7,5.8,5.8,5.6,5.9,5.9,5.9
ZCTA5 41144,41144,5.6,5.6,5.6,5.5,5.6,5.6,5.7,5.8,6.0,5.9,6.1,6.1,6.2,6.2
ZCTA5 41146,41146,5.5,5.3,5.1,5.2,5.2,5.1,5.0,5.0,5.1,5.0,5.3,5.7,5.7,5.7
ZCTA5 41149,41149,5.1,5.2,5.2,5.0,5.2,5.2,5.2,5.4,5.5,5.2,5.4,5.4,5.2,5.0
ZCTA5 41159,41159,5.3,5.2,5.1,5.1,5.0,5.6,5.2,5.3,5.5,5.5,5.2,5.4,5.2,5.1
ZCTA5 41164,41164,5.3,5.4,5.4,5.4,5.5,5.6,5.6,5.7,5.7,5.8,5.8,5.9,5.9,6.0
ZCTA5 41166,41166,6.2,6.1,5.5,5.5,5.7,5.9,5.9,5.9,5.9,5.7,5.6,5.4,5.5,5.4
ZCTA5 41168,41168,6.1,6.0,6.0,5.8,5.2,5.2,5.3,5.4,5.9,6.5,6.3,6.6,6.7,6.3
ZCTA5 41169,41169,6.1,6.3,6.2,6.1,6.2,6.3,6.2,6.3,6.3,6.6,6.6,6.7,6.6,6.5
ZCTA5 41171,41171,5.2,5.1,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.2,5.2,5.3,5.5,5.9
ZCTA5 41174,41174,5.6,5.6,5.3,5.7,5.3,5.3,5.3,5.3,5.2,6.0,6.0,6.0,6.3,6.2
ZCTA5 41175,41175,5.3,5.2,5.5,5.4,5.6,6.0,5.9,5.9,5.9,5.9,5.7,5.8,5.9,6.0
ZCTA5 41179,41179,5.2,5.2,5.3,5.4,5.4,5.3,5.4,5.4,5.3,5.3,5.4,5.4,5.3,5.4
ZCTA5 41180,41180,5.3,5.3,5.7,5.6,5.7,5.6,5.6,5.4,5.9,5.7,5.8,5.7,5.8,5.5
ZCTA5 41181,41181,,,,,,,,,,,-,-,-,-
ZCTA5 41183,41183,5.9,5.9,5.9,5.9,6.0,6.1,6.2,6.1,6.1,6.0,5.9,5.9,5.9,5.9
ZCTA5 41189,41189,5.7,5.9,5.9,5.8,5.9,5.9,5.9,5.7,5.6,5.6,5.6,5.6,6.0,6.3
ZCTA5 41201,41201,4.9,4.9,5.1,5.0,5.0,4.9,5.0,5.2,5.4,5.4,4.9,5.6,5.7,5.8
ZCTA5 41203,41203,5.3,5.4,5.4,5.8,5.5,5.6,6.2,5.8,5.1,5.1,6.3,6.4,6.6,6.6
ZCTA5 41204,41204,5.0,5.2,5.6,5.6,6.1,5.9,5.7,5.2,5.5,5.4,5.5,5.8,5.9,5.9
ZCTA5 41214,41214,5.6,5.0,5.7,5.4,5.0,5.0,5.1,4.8,4.5,4.3,4.2,4.3,4.5,5.2
ZCTA5 41216,41216,5.7,5.9,5.8,5.8,5.8,6.3,6.7,6.7,6.6,6.3,5.6,5.6,5.0,5.2
ZCTA5 41219,41219,5.1,5.1,5.0,5.1,5.5,5.6,5.1,5.6,5.7,5.7,5.6,5.8,5.7,5.5
ZCTA5 41222,41222,5.3,5.5,5.4,5.4,5.3,5.4,5.6,6.0,6.0,6.0,5.9,6.0,5.6,5.5
ZCTA5 41224,41224,5.4,5.5,5.5,5.7,5.7,5.8,5.7,5.7,5.8,5.7,5.5,5.6,5.8,5.9
ZCTA5 41226,41226,6.8,9.0+,9.0+,5.0,4.9,4.9,5.0,5.5,6.1,6.1,7.5,7.1,6.7,7.0
ZCTA5 41230,41230,5.3,5.6,5.7,5.6,5.7,5.6,5.6,5.5,5.6,5.8,5.7,5.8,5.9,5.9
ZCTA5 41231,41231,4.9,4.6,4.8,5.0,5.0,5.1,5.2,5.1,5.4,5.7,5.7,6.1,5.9,5.5
ZCTA5 41232,41232,5.8,5.4,5.1,5.4,5.3,5.8,5.9,6.0,6.0,5.5,5.7,5.6,5.7,5.4
ZCTA5 41234,41234,5.1,5.5,5.1,5.2,6.3,6.3,5.7,5.9,5.8,5.4,5.4,5.6,5.7,5.7
ZCTA5 41238,41238,5.4,5.5,5.5,5.4,5.4,5.2,5.2,5.1,5.3,5.4,5.6,5.6,5.5,5.3
ZCTA5 41240,41240,5.2,5.3,5.5,5.4,5.3,5.4,5.5,5.2,5.2,5.5,5.4,5.7,5.7,5.9
ZCTA5 41250,41250,5.4,5.4,5.7,5.5,5.5,5.7,6.1,5.9,6.0,5.6,5.3,5.2,5.4,5.3
ZCTA5 41254,41254,5.9,5.7,5.5,5.4,5.2,5.5,5.6,5.8,5.6,6.0,5.9,5.9,5.6,6.7
ZCTA5 41255,41255,5.5,5.2,5.0,5.1,5.0,5.1,5.2,5.3,5.5,5.8,5.7,5.8,5.7,5.8
ZCTA5 41256,41256,6.5,6.3,6.3,6.1,6.3,6.1,5.9,6.1,6.2,6.3,6.3,7.0,7.0,6.7
ZCTA5 41257,41257,5.0,4.7,4.5,4.9,4.9,5.1,5.3,5.5,5.4,5.5,5.8,5.8,5.9,6.0
ZCTA5 41260,41260,5.5,5.4,4.9,4.9,5.4,5.2,4.4,4.8,4.8,4.8,4.6,5.1,5.3,5.3
ZCTA5 41262,41262,4.8,5.1,5.1,5.3,5.3,6.8,5.9,6.4,5.9,5.7,5.0,5.5,5.8,5.7
ZCTA5 41263,41263,5.3,4.2,4.3,5.1,4.5,4.5,5.6,5.4,4.9,5.7,6.3,5.4,5.0,6.5
ZCTA5 41264,41264,5.2,5.7,5.5,6.0,5.9,6.1,6.3,6.5,6.7,6.4,5.7,5.7,5.8,5.4
ZCTA5 41265,41265,5.5,5.6,5.5,5.8,5.7,5.7,5.6,5.7,5.5,5.6,5.6,6.1,6.0,6.2
ZCTA5 41267,41267,5.2,5.6,5.7,5.6,5.6,5.4,5.5,5.3,4.9,4.7,4.9,4.8,5.0,5.4
ZCTA5 41268,41268,6.0,6.0,6.0,5.3,5.2,5.4,5.2,5.3,5.3,6.7,6.2,6.1,6.1,6.3
ZCTA5 41271,41271,4.9,5.1,5.4,5.5,5.9,6.3,6.3,6.8,6.9,6.3,6.0,6.0,6.0,6.1
ZCTA5 41274,41274,4.5,6.0,6.2,6.2,6.0,5.8,5.6,5.3,5.0,5.1,4.4,4.5,5.2,4.9
ZCTA5 41301,41301,5.2,5.3,5.2,5.1,5.1,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.2
ZCTA5 41310,41310,,,,,,,,,,,-,-,-,-
ZCTA5 41311,41311,5.4,5.3,5.1,5.2,5.2,5.2,5.3,5.3,5.2,5.2,5.3,5.2,5.2,5.3
ZCTA5 41314,41314,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.2,5.2,5.1
ZCTA5 41317,41317,4.2,5.0,5.0,5.0,4.9,5.0,5.2,5.1,5.1,5.4,5.2,5.1,5.1,5.3
ZCTA5 41332,41332,5.2,5.1,4.8,4.9,5.1,5.1,5.3,5.2,5.3,5.7,6.1,6.1,6.4,6.6
ZCTA5 41339,41339,5.2,5.1,5.1,5.1,5.2,5.2,5.3,5.2,5.3,5.4,5.4,5.5,5.7,5.7
ZCTA5 41348,41348,5.1,5.2,5.2,5.1,5.2,5.3,5.2,5.3,5.3,5.2,5.4,5.3,5.2,4.9
ZCTA5 41351,41351,,,,,,,,,,,-,-,-,-
ZCTA5 41352,41352,5.2,5.3,5.7,5.6,5.5,5.5,5.3,5.3,5.3,5.7,5.2,5.3,5.6,5.5
ZCTA5 41360,41360,4.7,4.5,4.7,4.5,4.7,4.4,4.5,4.7,4.7,4.5,4.9,4.8,4.9,4.5
ZCTA5 41364,41364,,,,,,,,,,,4.6,4.1,4.0,4.0
ZCTA5 41365,41365,4.9,4.3,4.5,4.6,5.0,5.3,6.7,5.3,5.1,4.8,5.4,5.4,5.6,5.7
ZCTA5 41366,41366,-,-,-,-,-,-,-,-,-,-,5.0,5.1,-,-
ZCTA5 41367,41367,4.8,4.7,5.6,5.2,5.9,5.7,5.7,6.0,5.9,5.9,5.9,5.4,-,-
ZCTA5 41385,41385,5.2,5.0,5.4,5.4,6.2,6.6,6.4,6.1,5.8,5.7,5.7,5.8,5.9,6.0
ZCTA5 41386,41386,,,,,,,,,,,-,-,-,-
ZCTA5 41390,41390,4.0,3.2,3.2,4.6,4.0,-,-,4.3,-,-,6.9,6.9,4.7,4.4
ZCTA5 41397,41397,9.0+,9.0+,-,-,-,-,-,-,-,-,5.9,6.0,6.1,6.0
ZCTA5 41408,41408,5.3,5.3,5.3,5.5,5.7,5.7,6.1,5.7,5.4,5.4,5.3,5.3,5.7,5.8
ZCTA5 41421,41421,5.6,6.1,5.9,4.4,4.3,4.7,4.7,4.8,5.1,5.4,6.3,6.8,6.9,6.5
ZCTA5 41425,41425,5.7,5.9,6.1,5.8,5.8,5.9,5.9,5.8,6.2,5.9,5.6,5.4,5.4,5.6
ZCTA5 41464,41464,5.1,4.9,4.8,5.0,4.9,5.0,5.0,5.1,4.9,5.2,5.6,5.6,5.3,5.3
ZCTA5 41465,41465,5.4,5.3,5.3,5.2,5.2,5.2,5.1,5.0,5.0,5.1,5.2,5.2,5.4,5.4
ZCTA5 41472,41472,5.2,5.3,5.4,5.6,5.7,5.7,5.7,5.6,5.6,5.6,5.7,5.7,5.7,5.6
ZCTA5 41501,41501,5.4,5.3,5.3,5.2,5.3,5.3,5.4,5.4,5.4,5.5,5.6,5.5,5.5,5.6
ZCTA5 41503,41503,5.0,5.2,5.8,5.9,6.0,5.8,5.4,5.2,5.2,5.0,5.1,5.1,5.2,4.7
ZCTA5 41512,41512,5.6,5.8,5.3,5.2,5.3,5.5,5.8,6.0,6.3,6.2,6.1,6.0,5.9,5.4
ZCTA5 41513,41513,5.6,5.8,6.0,6.1,6.2,6.3,6.2,6.1,6.0,5.8,5.6,5.5,5.2,5.5
ZCTA5 41514,41514,5.4,5.3,5.4,5.3,5.2,5.1,5.3,5.5,5.5,5.8,6.0,5.8,5.7,5.9
ZCTA5 41517,41517,4.8,7.6,7.9,8.2,7.5,7.2,7.3,7.4,5.5,5.2,-,-,9.0+,9.0+
ZCTA5 41519,41519,5.9,5.5,5.4,5.9,5.7,5.8,5.9,6.1,6.1,6.1,6.2,5.7,5.4,5.4
ZCTA5 41522,41522,5.4,5.4,5.6,5.4,5.5,5.5,5.5,5.3,5.4,5.3,5.4,5.4,5.5,5.6
ZCTA5 41524,41524,6.7,6.3,6.6,6.3,6.7,5.8,6.2,5.8,5.5,5.5,5.6,5.3,5.1,5.6
ZCTA5 41526,41526,4.8,5.4,4.9,5.0,5.6,-,-,7.5,6.3,-,-,-,-,-
ZCTA5 41527,41527,6.6,6.6,6.3,6.2,6.2,6.1,5.9,5.6,6.5,6.5,6.4,6.7,6.7,7.3
ZCTA5 41528,41528,4.9,4.9,4.9,5.0,5.1,5.3,5.3,5.7,6.3,6.2,6.6,6.2,5.9,5.3
ZCTA5 41531,41531,6.1,6.1,5.6,5.6,5.3,5.4,5.5,6.2,5.8,5.9,5.9,5.1,5.6,6.6
ZCTA5 41534,41534,4.5,4.7,4.9,5.1,5.6,5.2,5.1,5.1,5.1,5.0,5.0,5.0,5.1,5.1
ZCTA5 41535,41535,5.3,5.5,5.9,6.1,6.2,6.1,6.0,6.0,5.8,6.6,6.6,6.7,6.8,6.5
ZCTA5 41537,41537,5.6,5.7,5.6,5.5,5.4,5.7,5.4,5.5,5.7,5.9,5.7,5.8,5.7,5.7
ZCTA5 41538,41538,-,3.5,3.3,3.3,-,4.6,3.3,4.8,4.9,5.0,7.3,7.6,7.6,7.7
ZCTA5 41539,41539,5.5,5.6,5.3,5.7,5.6,5.6,5.6,5.7,5.3,5.2,5.5,5.8,6.5,6.2
ZCTA5 41540,41540,5.5,5.3,5.0,5.4,5.3,5.2,5.5,5.4,5.2,7.6,7.5,7.1,6.8,5.5
ZCTA5 41543,41543,5.9,5.8,5.9,5.9,6.1,5.4,5.1,4.7,4.8,4.5,5.0,5.1,5.2,4.9
ZCTA5 41544,41544,6.1,6.1,6.3,5.5,5.3,5.3,5.4,5.4,5.9,6.1,5.6,6.3,6.6,6.3
ZCTA5 41547,41547,6.7,6.2,6.1,5.1,5.2,4.7,4.7,4.8,5.1,5.1,5.2,6.2,5.8,4.2
ZCTA5 41548,41548,5.4,5.5,5.4,5.1,5.0,5.4,5.4,5.8,5.9,5.3,5.2,5.1,5.1,5.2
ZCTA5 41553,41553,5.0,5.1,4.9,5.0,5.4,5.5,5.6,6.3,6.3,6.4,6.2,6.3,6.3,5.9
ZCTA5 41554,41554,5.3,5.3,4.9,4.9,5.1,5.1,5.1,5.2,5.4,5.2,5.6,5.9,6.0,5.4
ZCTA5 41555,41555,6.0,6.5,6.0,5.5,5.5,6.3,5.9,5.7,5.8,6.0,6.1,6.3,6.4,6.4
ZCTA5 41557,41557,5.6,5.6,6.2,6.2,5.4,5.3,5.2,5.0,5.0,5.4,5.6,5.8,5.9,6.0
ZCTA5 41558,41558,5.5,5.6,6.0,5.6,5.7,5.7,5.9,5.9,5.9,6.0,6.1,6.3,6.2,6.2
ZCTA5 41559,41559,6.8,5.7,6.5,6.3,5.3,5.4,5.6,5.5,6.0,6.2,7.5,7.8,7.7,6.4
ZCTA5 41560,41560,5.2,7.0,4.9,4.8,4.9,5.2,5.3,6.0,6.0,5.6,5.4,5.4,6.0,7.6
ZCTA5 41562,41562,5.0,5.2,5.7,5.8,5.7,5.9,6.2,6.2,5.6,6.4,6.1,6.0,5.9,6.0
ZCTA5 41563,41563,5.9,6.1,6.3,6.6,5.3,5.9,5.5,5.8,5.8,6.2,6.3,6.5,7.2,7.1
ZCTA5 41564,41564,5.5,5.7,5.5,5.8,6.3,6.1,5.4,6.1,6.5,5.5,5.7,6.5,6.2,6.1
ZCTA5 41566,41566,5.2,5.9,5.4,5.2,5.4,5.3,5.2,5.2,5.2,5.4,5.2,5.0,5.0,4.9
ZCTA5 41567,41567,4.7,4.5,4.6,6.9,6.4,6.0,6.1,6.6,6.7,6.8,7.3,8.0,7.5,7.8
ZCTA5 41568,41568,5.2,5.5,5.3,5.4,6.6,4.9,5.1,6.1,4.7,4.2,5.0,4.4,4.5,4.5
ZCTA5 41571,41571,5.4,5.5,5.8,5.9,6.2,5.9,5.8,5.5,5.2,5.1,5.6,5.6,5.6,6.0
ZCTA5 41572,41572,5.6,5.8,5.8,5.7,5.7,5.7,5.9,5.8,6.0,5.9,5.9,6.0,6.1,6.0
ZCTA5 41601,41601,5.9,6.1,5.8,5.4,5.6,5.1,5.2,5.6,5.7,5.5,5.7,5.8,5.8,5.7
ZCTA5 41602,41602,6.7,6.8,6.8,7.0,6.1,5.8,5.7,5.4,5.4,5.8,6.4,6.8,7.7,7.7
ZCTA5 41603,41603,6.1,6.0,6.1,6.0,5.7,5.9,5.5,5.5,5.5,5.1,5.1,5.1,5.0,5.1
ZCTA5 41604,41604,5.3,6.0,5.8,6.3,6.2,6.7,5.9,5.7,4.6,5.5,4.5,4.4,5.3,5.6
ZCTA5 41605,41605,5.2,5.4,5.8,5.7,6.0,6.1,6.1,5.4,5.2,5.1,5.1,5.2,5.4,5.6
ZCTA5 41606,41606,5.8,5.7,5.9,5.9,5.8,5.6,5.6,5.4,5.5,5.8,5.9,6.0,6.0,6.7
ZCTA5 41607,41607,5.8,5.7,6.8,6.0,6.2,6.1,6.1,5.6,5.1,4.8,4.9,4.8,4.8,5.0
ZCTA5 41612,41612,6.9,7.1,5.0,-,4.6,4.7,4.7,4.0,-,4.2,5.4,5.7,6.6,6.1
ZCTA5 41615,41615,6.4,6.1,6.3,5.4,5.0,4.7,4.0,4.3,4.4,5.2,6.0,7.1,6.5,7.1
ZCTA5 41616,41616,5.0,5.3,5.2,5.4,5.3,5.8,5.4,5.5,6.1,5.6,5.2,5.1,5.0,4.7
ZCTA5 41619,41619,5.1,5.2,5.0,4.4,4.3,4.4,4.5,6.6,6.3,4.9,4.9,5.1,4.8,5.1
ZCTA5 41621,41621,4.8,3.3,4.1,4.4,5.5,5.6,6.5,7.6,7.2,7.1,7.7,7.6,7.2,7.4
ZCTA5 41622,41622,7.0,7.1,6.5,6.3,6.0,5.9,5.9,6.2,6.3,7.2,6.6,6.5,4.5,3.8
ZCTA5 41630,41630,4.9,4.9,4.9,5.4,5.3,5.5,5.4,5.2,4.9,4.7,4.8,5.3,5.7,5.9
ZCTA5 41631,41631,5.0,5.0,5.3,5.3,4.8,4.9,5.2,5.1,5.1,5.5,6.2,5.0,6.8,6.9
ZCTA5 41632,41632,4.9,5.1,4.8,5.0,4.9,4.8,4.7,4.9,5.0,5.0,5.9,6.0,6.0,5.9
ZCTA5 41635,41635,5.3,5.1,5.4,5.6,5.4,5.6,5.5,5.4,5.3,5.7,5.5,5.4,5.5,5.6
ZCTA5 41636,41636,5.1,5.4,5.5,5.3,5.0,4.8,4.7,4.3,4.7,4.2,5.1,5.6,6.1,6.0
ZCTA5 41640,41640,5.6,5.9,5.8,5.9,5.6,5.9,5.8,5.8,5.4,5.3,5.2,5.5,5.5,5.8
ZCTA5 41642,41642,5.9,5.7,5.3,5.3,5.3,5.2,5.2,5.4,5.5,5.3,5.8,5.6,5.1,5.2
ZCTA5 41643,41643,6.8,7.1,8.1,8.0,8.1,9.0+,7.3,5.7,5.4,5.6,5.9,5.9,6.2,6.4
ZCTA5 41645,41645,4.7,4.7,4.8,4.6,5.0,5.1,5.1,5.1,5.2,4.6,5.1,5.2,5.5,5.7
ZCTA5 41647,41647,5.3,5.6,5.6,5.8,5.7,5.8,5.6,5.7,5.5,5.6,5.3,5.3,5.2,5.1
ZCTA5 41649,41649,5.7,5.6,5.7,5.4,5.3,5.1,5.2,5.1,5.2,5.4,5.5,5.7,5.8,5.9
ZCTA5 41650,41650,5.2,5.5,5.7,6.1,5.7,6.2,6.4,7.0,6.6,6.9,6.8,6.7,6.3,6.0
ZCTA5 41651,41651,,,,,,,,,,,6.8,7.0,6.4,6.4
ZCTA5 41653,41653,5.2,5.3,5.2,5.3,5.4,5.4,5.3,5.3,5.2,5.4,5.5,5.7,5.7,5.8
ZCTA5 41655,41655,4.4,4.3,4.4,4.7,4.8,5.4,5.7,5.9,5.5,5.0,4.8,4.8,5.0,5.4
ZCTA5 41659,41659,4.9,4.8,4.2,4.1,4.3,4.4,4.9,5.1,5.4,6.8,6.3,6.5,6.7,6.2
ZCTA5 41660,41660,4.7,4.9,5.0,5.0,4.4,5.1,5.2,5.3,4.8,4.4,4.5,6.9,6.7,7.0
ZCTA5 41663,41663,5.3,5.1,5.2,5.4,5.3,4.5,4.2,4.3,4.5,4.4,4.6,5.2,5.1,5.1
ZCTA5 41666,41666,6.0,5.5,5.3,5.4,5.7,5.7,5.8,6.0,5.7,5.4,5.5,5.2,5.1,5.6
ZCTA5 41667,41667,5.3,5.2,5.2,5.2,5.2,5.1,5.1,5.4,5.4,5.7,6.2,6.0,5.9,5.1
ZCTA5 41669,41669,4.6,4.8,4.7,4.9,4.9,4.7,4.8,4.7,4.8,4.9,5.1,5.2,5.3,5.3
ZCTA5 41701,41701,5.2,5.2,5.3,5.2,5.3,5.3,5.4,5.4,5.5,5.8,5.7,5.8,5.7,5.7
ZCTA5 41712,41712,4.8,4.4,5.7,5.0,6.0,6.3,5.8,6.2,6.3,6.0,5.7,5.7,5.6,5.4
ZCTA5 41713,41713,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 41714,41714,5.1,5.4,6.1,5.9,5.8,5.2,5.2,5.1,5.1,5.3,6.0,5.5,5.8,5.6
ZCTA5 41719,41719,4.6,5.0,4.9,5.0,5.2,5.5,5.1,5.5,5.2,5.2,5.2,5.3,5.5,5.9
ZCTA5 41721,41721,5.3,5.1,5.2,5.0,5.1,5.1,4.6,4.6,4.8,4.8,4.5,5.1,5.2,5.9
ZCTA5 41722,41722,5.1,5.3,5.3,5.5,5.7,5.1,5.2,5.0,4.9,4.9,5.2,5.3,5.7,5.8
ZCTA5 41723,41723,5.2,5.4,5.3,5.3,5.3,5.2,5.4,5.5,5.7,5.6,5.1,5.2,4.9,5.0
ZCTA5 41725,41725,6.7,6.9,6.9,6.8,6.6,6.8,5.4,5.2,4.5,-,5.3,5.3,5.2,6.0
ZCTA5 41727,41727,6.0,6.1,5.7,5.8,5.6,5.3,5.0,5.7,5.8,5.7,5.8,5.7,5.8,5.9
ZCTA5 41729,41729,5.9,4.8,4.6,4.8,-,-,-,-,-,-,-,-,-,4.3
ZCTA5 41731,41731,5.5,5.3,5.3,5.3,5.2,4.9,5.1,5.3,5.3,5.7,6.1,5.6,5.5,5.6
ZCTA5 41735,41735,4.5,5.2,4.8,5.1,4.8,5.3,5.4,5.6,5.1,4.9,5.0,4.8,4.9,5.2
ZCTA5 41739,41739,5.3,5.2,4.3,4.4,5.0,6.2,6.6,6.6,6.5,6.1,6.9,-,-,-
ZCTA5 41740,41740,5.2,5.2,5.5,5.8,5.4,5.5,5.6,5.2,5.2,5.2,5.3,5.2,6.5,5.4
ZCTA5 41745,41745,5.5,5.3,-,5.0,5.8,5.5,5.5,5.5,5.8,5.3,5.2,5.2,5.8,5.8
ZCTA5 41746,41746,4.9,5.0,5.4,5.7,6.2,6.1,5.7,5.6,4.9,6.3,7.1,7.5,7.1,7.9
ZCTA5 41749,41749,5.0,4.9,4.9,5.0,5.0,4.9,5.2,5.3,5.3,5.4,5.5,5.5,5.4,5.3
ZCTA5 41751,41751,4.4,4.2,4.3,4.4,5.1,5.8,5.3,5.2,5.1,5.1,5.1,6.1,5.4,6.0
ZCTA5 41754,41754,5.1,5.4,4.9,6.5,4.6,4.3,4.7,4.8,4.6,4.3,4.6,5.8,5.7,5.6
ZCTA5 41759,41759,4.5,4.8,5.8,5.5,5.5,5.7,5.4,5.5,5.7,4.6,5.2,6.8,6.7,7.0
ZCTA5 41760,41760,5.3,5.3,-,-,-,-,-,-,-,-,6.2,6.4,9.0+,6.4
ZCTA5 41762,41762,5.3,5.5,5.7,-,-,-,-,-,-,-,-,-,6.7,6.1
ZCTA5 41763,41763,5.3,5.4,5.6,5.2,4.9,4.7,4.7,4.5,5.3,5.7,6.0,5.7,5.9,6.1
ZCTA5 41764,41764,5.0,5.0,5.4,5.4,5.8,6.0,6.0,6.1,6.3,5.5,5.5,5.5,5.5,5.1
ZCTA5 41766,41766,5.4,5.4,5.5,5.4,5.2,5.3,6.4,6.2,6.7,6.5,6.9,5.7,6.2,6.1
ZCTA5 41772,41772,4.7,4.6,4.6,4.3,4.2,4.5,4.7,5.1,5.8,5.5,6.4,4.8,4.7,4.6
ZCTA5 41773,41773,5.3,5.4,5.4,5.5,5.6,5.7,5.5,5.5,5.4,5.3,5.2,5.0,5.2,5.1
ZCTA5 41774,41774,5.1,5.1,5.1,5.4,5.1,5.2,5.3,5.3,5.2,5.6,5.8,5.7,5.8,5.9
ZCTA5 41775,41775,3.9,4.3,4.3,4.1,4.5,4.7,4.0,5.6,5.5,7.0,6.3,5.1,5.2,5.0
ZCTA5 41776,41776,5.3,5.3,5.3,5.5,5.6,5.6,5.7,5.3,4.9,5.0,5.4,5.1,5.1,5.8
ZCTA5 41777,41777,4.9,4.8,4.9,5.3,5.2,5.2,5.3,5.5,5.6,6.0,5.9,5.7,5.1,5.3
ZCTA5 41778,41778,,,,,,,,,,,-,-,5.4,-
ZCTA5 41804,41804,5.3,5.1,5.1,5.1,5.1,5.3,5.4,5.4,5.7,6.4,6.1,6.3,6.4,6.4
ZCTA5 41810,41810,7.1,6.1,5.7,5.8,5.7,5.6,4.8,5.1,4.3,4.1,4.4,4.2,4.1,5.2
ZCTA5 41812,41812,6.8,6.8,7.1,5.4,6.7,5.5,6.2,6.2,5.9,6.1,6.5,6.8,7.0,7.4
ZCTA5 41815,41815,5.3,5.0,4.4,4.6,4.5,4.8,5.0,5.0,4.7,6.6,6.1,6.3,6.6,6.7
ZCTA5 41817,41817,5.6,5.6,5.8,4.1,5.4,5.6,5.1,5.4,5.1,4.8,4.8,5.0,4.8,5.1
ZCTA5 41819,41819,4.7,4.7,5.0,5.0,4.9,4.9,6.6,6.6,6.3,5.8,5.9,5.3,5.5,5.8
ZCTA5 41821,41821,5.0,5.1,5.0,4.9,4.9,5.0,5.0,5.0,5.5,5.1,6.0,5.1,5.1,5.1
ZCTA5 41822,41822,5.5,5.3,5.3,5.2,5.1,5.1,5.2,5.2,5.4,5.6,5.2,5.3,5.2,5.2
ZCTA5 41824,41824,4.6,4.6,4.8,4.4,4.5,5.2,4.9,4.7,5.2,5.4,4.8,5.3,5.3,5.7
ZCTA5 41825,41825,5.8,6.0,6.0,6.0,6.1,6.4,6.3,6.3,6.4,6.4,5.9,5.8,5.5,5.3
ZCTA5 41826,41826,5.2,5.2,5.5,5.4,5.3,5.3,5.8,5.2,5.2,5.6,5.6,5.5,6.1,5.9
ZCTA5 41828,41828,6.1,6.0,5.8,5.5,5.4,5.9,6.0,5.8,6.0,6.2,6.2,6.2,6.0,6.1
ZCTA5 41831,41831,5.7,5.5,6.1,6.0,5.8,5.3,5.3,5.3,5.3,6.6,6.5,6.5,6.2,6.2
ZCTA5 41832,41832,5.2,5.2,5.5,6.0,5.9,7.5,5.7,5.4,5.4,5.2,5.8,5.9,5.4,5.5
ZCTA5 41833,41833,3.3,3.4,3.4,5.3,5.0,5.4,5.9,5.3,5.5,5.7,5.7,5.7,5.2,5.0
ZCTA5 41834,41834,4.4,5.0,5.0,5.0,5.2,5.3,5.2,5.5,5.8,5.6,4.9,4.8,5.1,5.0
ZCTA5 41835,41835,5.6,6.6,6.9,6.9,6.8,7.1,6.3,5.8,6.0,7.2,5.9,7.1,6.8,6.2
ZCTA5 41836,41836,5.2,5.2,5.2,5.1,5.1,5.3,5.2,5.1,5.1,5.1,5.2,5.6,5.8,5.9
ZCTA5 41837,41837,5.0,5.1,4.7,4.9,5.2,5.4,5.4,5.9,6.0,6.2,6.6,6.6,6.6,6.1
