Geographic_Area_Name,zipCode,Median_number_of_rooms_2011,Median_number_of_rooms_2012,Median_number_of_rooms_2013,Median_number_of_rooms_2014,Median_number_of_rooms_2015,Median_number_of_rooms_2016,Median_number_of_rooms_2017,Median_number_of_rooms_2018,Median_number_of_rooms_2019,Median_number_of_rooms_2020,Median_number_of_rooms_2021,Median_number_of_rooms_2022,Median_number_of_rooms_2023,Median_number_of_rooms_2024
ZCTA5 18067,18067,6.3,6.2,6.3,6.4,6.3,6.3,6.3,6.2,6.1,6.2,6.2,6.1,6.2,6.2
ZCTA5 18068,18068,-,-,-,-,-,-,-,-,-,-,,,,
ZCTA5 18069,18069,7.3,7.3,7.4,7.4,7.3,7.3,7.5,7.2,7.0,7.1,7.2,7.4,7.6,7.8
ZCTA5 18070,18070,5.6,5.5,5.5,5.9,5.9,5.9,5.9,6.0,6.2,6.2,6.5,6.4,6.3,6.2
ZCTA5 18071,18071,5.7,5.7,5.8,5.7,5.7,5.8,5.8,5.8,6.1,6.0,5.9,5.9,5.8,5.6
ZCTA5 18072,18072,6.2,6.2,6.0,6.0,6.0,6.0,6.0,6.2,6.2,6.5,6.3,6.1,6.1,6.0
ZCTA5 18073,18073,6.6,6.7,6.6,6.6,6.6,6.6,6.4,6.5,6.4,6.6,6.7,6.9,7.0,7.1
ZCTA5 18074,18074,6.8,6.8,6.7,6.7,6.8,6.7,6.8,7.0,7.0,7.3,7.3,7.5,7.5,7.6
ZCTA5 18076,18076,6.0,6.0,5.7,5.8,5.9,6.0,6.1,6.0,6.0,6.1,6.1,6.0,6.1,6.0
ZCTA5 18077,18077,7.0,7.4,7.0,7.0,7.0,6.8,6.6,6.8,6.7,6.7,6.5,6.9,6.8,6.8
ZCTA5 18078,18078,7.0,6.9,6.7,6.9,7.1,6.9,7.1,7.1,7.2,7.2,7.5,7.5,7.6,7.5
ZCTA5 18079,18079,6.0,6.6,7.8,7.1,6.5,6.6,7.2,6.3,6.2,6.4,6.6,6.2,6.0,6.1
ZCTA5 18080,18080,6.0,5.9,6.0,6.0,6.0,6.0,6.1,6.1,6.2,6.5,6.5,6.4,6.4,6.3
ZCTA5 18081,18081,7.9,5.6,5.6,6.2,6.1,5.9,5.8,5.6,5.8,4.5,-,-,8.4,-
ZCTA5 18083,18083,5.9,5.8,5.9,5.7,5.8,5.7,5.8,5.9,6.0,5.8,6.1,6.1,5.5,5.6
ZCTA5 18085,18085,6.2,6.3,6.2,6.3,6.6,6.4,6.4,6.3,6.3,6.4,6.2,6.0,6.1,6.2
ZCTA5 18086,18086,6.3,6.4,6.8,7.0,6.7,6.2,5.4,5.4,5.5,6.1,6.0,6.3,5.5,5.5
ZCTA5 18087,18087,4.8,5.1,5.2,5.3,5.4,5.5,5.5,6.0,5.2,5.0,4.9,4.8,4.2,4.6
ZCTA5 18088,18088,6.1,6.2,6.2,6.1,6.2,6.2,6.2,6.2,6.2,6.3,6.2,6.2,6.2,6.3
ZCTA5 18091,18091,5.6,5.5,5.9,5.9,5.9,5.8,5.7,5.8,5.9,6.0,6.1,6.0,6.0,5.7
