Geographic_Area_Name,zipCode,"Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2023","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2023",Total_Housing_Units!!Occupied_Units!!10_or_more_units_2022,Total_Housing_Units!!Occupied_Units!!10_or_more_units_2023,Total_Housing_Units!!Occupied_Units!!2-9_units_2022,Total_Housing_Units!!Occupied_Units!!2-9_units_2023,"Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2022","Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2023",Total_Housing_Units!!Occupied_Units_2022,Total_Housing_Units!!Occupied_Units_2023,"Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2023","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2023",Total_Housing_Units!!Vacant_Units!!10_or_more_units_2022,Total_Housing_Units!!Vacant_Units!!10_or_more_units_2023,Total_Housing_Units!!Vacant_Units!!2-9_units_2022,Total_Housing_Units!!Vacant_Units!!2-9_units_2023,Total_Housing_Units!!Vacant_Units!!mobile-home_2022,Total_Housing_Units!!Vacant_Units!!mobile-home_2023,Total_Housing_Units!!Vacant_Units_2022,Total_Housing_Units!!Vacant_Units_2023,Total_Housing_Units_2022,Total_Housing_Units_2023
ZCTA5 04653,04653,0,0,250,243,0,0,22,16,18,9,290,268,10,9,113,106,0,0,45,43,9,8,177,166,467,434
ZCTA5 04654,04654,2,1,867,883,62,67,242,242,142,125,1315,1318,3,2,503,489,0,0,81,63,35,56,622,610,1937,1928
ZCTA5 04655,04655,10,7,313,355,0,0,3,2,58,53,384,417,0,0,240,220,0,0,0,0,34,34,274,254,658,671
ZCTA5 04657,04657,1,0,142,166,0,0,0,0,7,4,150,170,0,0,258,228,0,0,0,0,19,19,277,247,427,417
ZCTA5 04658,04658,0,0,427,405,28,25,23,26,67,84,545,540,0,0,319,343,3,3,19,20,18,18,359,384,904,924
ZCTA5 04660,04660,0,0,470,489,0,0,29,18,0,5,499,512,0,5,688,623,0,0,17,17,0,0,705,645,1204,1157
ZCTA5 04662,04662,0,0,170,152,0,12,25,48,0,0,195,212,6,7,432,472,7,0,52,27,0,0,497,506,692,718
ZCTA5 04664,04664,0,0,433,397,0,0,17,51,102,68,552,516,0,0,203,218,0,0,0,0,27,25,230,243,782,759
ZCTA5 04666,04666,3,5,438,443,8,3,5,17,99,84,553,552,0,0,196,265,0,0,0,0,34,33,230,298,783,850
ZCTA5 04667,04667,2,2,432,446,10,8,35,38,34,24,513,518,0,0,213,239,0,0,0,0,17,19,230,258,743,776
ZCTA5 04668,04668,10,12,566,671,28,23,27,38,130,141,761,885,3,3,426,381,13,8,20,15,22,27,484,434,1245,1319
ZCTA5 04669,04669,0,0,68,68,0,0,0,0,0,8,68,76,0,0,137,130,0,0,0,0,0,0,137,130,205,206
ZCTA5 04671,04671,0,0,218,235,0,0,0,0,13,11,231,246,0,0,117,109,0,0,0,0,0,0,117,109,348,355
ZCTA5 04673,04673,0,0,77,92,0,0,0,0,10,9,87,101,0,0,86,71,0,0,0,0,0,0,86,71,173,172
ZCTA5 04674,04674,0,0,77,80,0,0,25,16,15,14,117,110,0,0,242,202,0,0,9,9,0,10,251,221,368,331
ZCTA5 04675,04675,0,0,50,58,0,0,0,0,0,0,50,58,20,23,160,147,0,0,18,20,0,0,198,190,248,248
ZCTA5 04676,04676,15,20,427,419,0,0,12,14,102,92,556,545,0,0,140,164,0,0,0,0,17,9,157,173,713,718
ZCTA5 04677,04677,0,0,116,129,0,0,0,0,14,18,130,147,0,0,158,158,0,0,0,0,8,3,166,161,296,308
ZCTA5 04679,04679,13,12,449,465,100,89,128,122,32,64,722,752,0,0,553,536,17,42,98,70,38,28,706,676,1428,1428
ZCTA5 04680,04680,3,2,402,408,0,0,0,0,107,121,512,531,0,0,300,296,0,0,0,0,60,46,360,342,872,873
ZCTA5 04681,04681,3,3,313,339,4,0,43,41,92,135,455,518,0,0,389,310,0,0,19,30,29,31,437,371,892,889
ZCTA5 04683,04683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,8,8,8
ZCTA5 04684,04684,0,0,781,787,0,0,0,0,80,85,861,872,5,5,451,423,0,0,0,0,10,12,466,440,1327,1312
ZCTA5 04685,04685,0,0,178,174,0,0,3,2,17,13,198,189,0,0,287,294,0,0,2,1,12,18,301,313,499,502
ZCTA5 04686,04686,2,3,68,63,0,0,0,0,13,15,83,81,0,0,166,126,0,0,0,0,4,4,170,130,253,211
ZCTA5 04691,04691,1,0,196,209,0,0,4,3,31,34,232,246,0,0,169,161,0,0,0,0,14,6,183,167,415,413
ZCTA5 04693,04693,0,0,178,183,2,3,29,26,20,27,229,239,13,8,172,201,0,0,48,29,0,8,233,246,462,485
ZCTA5 04694,04694,4,2,800,833,26,47,48,45,109,100,987,1027,0,0,358,370,0,0,0,0,32,36,390,406,1377,1433
ZCTA5 04730,04730,12,0,2878,2930,151,235,635,579,383,396,4059,4140,0,0,593,539,0,0,119,63,76,61,788,663,4847,4803
ZCTA5 04732,04732,0,0,472,426,0,15,132,130,149,162,753,733,0,0,217,213,8,9,8,0,35,33,268,255,1021,988
ZCTA5 04733,04733,0,0,143,153,0,0,0,0,5,13,148,166,0,0,35,33,0,0,0,0,16,7,51,40,199,206
ZCTA5 04734,04734,0,2,239,240,0,0,15,12,54,37,308,291,0,0,31,37,0,0,0,0,0,9,31,46,339,337
ZCTA5 04735,04735,0,4,167,175,11,19,15,12,33,38,226,248,0,0,87,73,0,7,14,8,0,0,101,88,327,336
ZCTA5 04736,04736,11,13,2862,3001,226,161,666,600,371,407,4136,4182,0,0,327,327,9,12,95,159,49,39,480,537,4616,4719
ZCTA5 04737,04737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,6,5,6,5
ZCTA5 04739,04739,15,13,265,287,17,6,11,16,23,11,331,333,0,0,538,526,0,0,28,28,23,37,589,591,920,924
ZCTA5 04740,04740,3,3,398,406,0,0,63,78,86,106,550,593,9,0,53,107,23,22,0,0,14,26,99,155,649,748
ZCTA5 04742,04742,0,0,1208,1221,36,123,86,67,53,24,1383,1435,0,0,155,171,0,0,0,0,100,62,255,233,1638,1668
ZCTA5 04743,04743,8,10,1257,1266,67,66,352,393,308,361,1992,2096,0,0,231,204,25,25,41,24,46,47,343,300,2335,2396
ZCTA5 04745,04745,0,0,322,320,3,0,34,34,30,26,389,380,0,0,61,54,0,0,0,0,8,0,69,54,458,434
ZCTA5 04746,04746,0,0,162,183,26,20,0,0,13,15,201,218,0,0,55,41,6,7,0,0,0,0,61,48,262,266
ZCTA5 04747,04747,2,2,439,468,1,1,55,54,46,50,543,575,0,0,382,320,0,0,4,4,21,14,407,338,950,913
ZCTA5 04750,04750,26,33,552,571,60,52,88,97,71,49,797,802,0,0,133,104,90,72,15,15,41,40,279,231,1076,1033
ZCTA5 04756,04756,55,61,872,917,265,267,350,341,82,50,1624,1636,0,0,152,118,87,33,57,67,0,0,296,218,1920,1854
ZCTA5 04757,04757,26,24,926,907,23,17,12,13,127,135,1114,1096,0,0,195,215,0,0,6,6,7,9,208,230,1322,1326
ZCTA5 04758,04758,0,0,412,461,0,0,134,110,35,36,581,607,0,0,49,32,0,0,31,32,5,0,85,64,666,671
ZCTA5 04760,04760,0,0,261,263,9,5,15,16,25,25,310,309,0,0,104,88,0,0,0,0,8,5,112,93,422,402
ZCTA5 04761,04761,0,0,132,144,0,0,14,21,34,20,180,185,0,0,136,132,0,0,3,3,9,17,148,152,328,337
ZCTA5 04762,04762,4,6,170,166,22,35,3,1,5,7,204,215,0,0,88,70,7,8,0,0,0,0,95,78,299,293
ZCTA5 04763,04763,3,0,221,251,0,0,58,55,32,16,314,322,6,0,144,167,0,0,0,0,20,20,170,187,484,509
ZCTA5 04764,04764,0,0,12,18,0,0,0,0,0,0,12,18,0,0,74,65,0,0,0,0,2,0,76,65,88,83
ZCTA5 04765,04765,0,3,385,535,3,2,52,74,39,21,479,635,0,0,464,424,3,3,6,7,5,4,478,438,957,1073
ZCTA5 04766,04766,2,3,110,104,0,0,0,0,31,28,143,135,0,0,49,46,0,0,0,0,2,0,51,46,194,181
ZCTA5 04768,04768,2,1,183,166,0,0,1,2,17,26,203,195,0,0,281,282,0,0,8,7,15,16,304,305,507,500
ZCTA5 04769,04769,31,37,2616,2643,317,238,963,978,140,150,4067,4046,0,0,282,306,36,33,151,119,50,64,519,522,4586,4568
ZCTA5 04772,04772,1,1,306,329,20,22,17,14,39,38,383,404,0,0,113,111,0,0,6,7,19,9,138,127,521,531
ZCTA5 04773,04773,0,0,321,271,0,0,20,19,0,15,341,305,0,0,268,322,0,0,0,0,0,0,268,322,609,627
ZCTA5 04774,04774,1,1,286,285,0,0,15,29,25,28,327,343,0,0,264,219,0,0,33,35,28,28,325,282,652,625
ZCTA5 04776,04776,16,16,254,241,0,0,3,5,49,41,322,303,0,0,126,153,0,0,0,0,23,23,149,176,471,479
ZCTA5 04777,04777,0,0,136,167,0,0,3,3,19,20,158,190,0,0,71,43,0,0,0,0,12,8,83,51,241,241
ZCTA5 04779,04779,0,0,167,156,0,0,0,0,0,5,167,161,0,0,357,365,0,0,0,0,36,36,393,401,560,562
ZCTA5 04780,04780,0,0,284,305,0,0,0,6,45,44,329,355,0,0,109,91,0,0,0,0,20,17,129,108,458,463
ZCTA5 04781,04781,0,0,194,230,0,0,4,3,19,16,217,249,0,0,65,43,0,0,24,15,6,10,95,68,312,317
ZCTA5 04783,04783,1,0,184,189,0,0,5,5,18,18,208,212,0,0,326,322,0,0,0,0,0,0,326,322,534,534
ZCTA5 04785,04785,15,7,566,564,55,53,165,176,50,50,851,850,0,0,296,242,19,19,149,166,4,4,468,431,1319,1281
ZCTA5 04786,04786,6,9,499,540,20,29,129,104,74,88,728,770,0,0,83,73,0,0,0,0,21,30,104,103,832,873
ZCTA5 04787,04787,0,7,124,122,0,0,0,0,30,19,154,148,0,0,45,39,0,0,0,0,8,14,53,53,207,201
ZCTA5 04841,04841,161,119,1873,1901,307,310,781,849,249,207,3371,3386,50,51,216,292,42,49,272,266,30,29,610,687,3981,4073
ZCTA5 04843,04843,85,113,1663,1720,203,230,284,306,133,80,2368,2449,41,0,629,616,44,17,196,194,0,0,910,827,3278,3276
ZCTA5 04847,04847,13,20,594,592,0,0,5,4,62,54,674,670,0,0,164,172,0,0,0,0,0,0,164,172,838,842
ZCTA5 04848,04848,0,0,332,355,0,0,0,0,12,9,344,364,2,2,408,375,0,0,0,0,9,6,419,383,763,747
ZCTA5 04849,04849,42,25,1477,1564,0,0,21,40,117,145,1657,1774,0,16,794,700,3,5,22,19,23,7,842,747,2499,2521
ZCTA5 04851,04851,0,0,48,38,0,0,0,0,1,1,49,39,0,0,145,115,0,0,0,4,4,4,149,123,198,162
ZCTA5 04852,04852,0,2,39,44,0,0,4,6,1,1,44,53,0,3,84,102,0,0,10,10,0,0,94,115,138,168
ZCTA5 04853,04853,6,2,167,185,4,3,7,6,0,0,184,196,18,3,314,326,0,0,4,10,0,0,336,339,520,535
ZCTA5 04854,04854,3,3,617,571,3,3,40,32,32,28,695,637,0,5,433,455,0,0,13,0,21,20,467,480,1162,1117
ZCTA5 04855,04855,0,0,163,194,0,0,0,0,0,0,163,194,0,0,94,42,0,0,0,0,0,0,94,42,257,236
ZCTA5 04856,04856,22,37,1210,1254,11,16,89,44,89,93,1421,1444,86,50,350,465,28,0,0,0,0,0,464,515,1885,1959
ZCTA5 04858,04858,2,2,528,530,0,0,16,20,32,44,578,596,0,0,265,247,0,0,0,11,11,11,276,269,854,865
ZCTA5 04859,04859,0,0,314,332,0,0,7,0,39,35,360,367,0,0,68,96,0,0,0,0,0,0,68,96,428,463
ZCTA5 04860,04860,0,0,742,678,0,0,20,19,109,92,871,789,0,0,755,740,0,0,0,0,0,0,755,740,1626,1529
ZCTA5 04861,04861,12,7,841,951,34,43,378,346,11,14,1276,1361,0,0,83,84,0,0,0,0,0,0,83,84,1359,1445
ZCTA5 04862,04862,3,3,1364,1426,0,0,110,109,193,205,1670,1743,15,0,299,312,0,0,0,0,13,10,327,322,1997,2065
ZCTA5 04863,04863,8,0,449,507,3,4,27,23,13,18,500,552,8,0,651,600,0,0,63,64,7,0,729,664,1229,1216
ZCTA5 04864,04864,19,20,1338,1253,22,21,50,62,233,203,1662,1559,0,0,241,298,0,0,0,0,18,19,259,317,1921,1876
ZCTA5 04901,04901,216,206,5625,5961,863,803,3546,3628,695,657,10945,11255,0,0,423,378,65,66,256,385,24,0,768,829,11713,12084
ZCTA5 04910,04910,0,0,655,655,22,53,39,69,192,164,908,941,0,0,23,24,0,0,42,28,0,0,65,52,973,993
ZCTA5 04911,04911,2,1,552,501,44,42,47,39,176,217,821,800,0,0,157,148,0,0,16,32,13,6,186,186,1007,986
ZCTA5 04912,04912,3,6,212,259,0,0,0,0,88,82,303,347,0,0,159,150,0,0,0,0,40,39,199,189,502,536
ZCTA5 04915,04915,150,146,2453,2529,158,166,812,723,654,611,4227,4175,47,49,630,576,113,110,88,218,66,64,944,1017,5171,5192
ZCTA5 04917,04917,23,16,1196,1192,0,0,0,20,101,88,1320,1316,10,0,880,856,0,0,28,61,55,28,973,945,2293,2261
ZCTA5 04918,04918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,66,0,0,0,0,0,0,69,66,69,66
ZCTA5 04920,04920,0,4,747,696,18,16,35,40,109,166,909,922,0,0,382,338,0,0,9,7,34,31,425,376,1334,1298
ZCTA5 04921,04921,8,9,497,543,27,24,48,53,115,128,695,757,0,0,161,147,0,0,11,10,16,16,188,173,883,930
ZCTA5 04922,04922,8,0,298,349,0,0,10,3,61,80,377,432,0,0,127,124,0,0,5,0,24,35,156,159,533,591
ZCTA5 04923,04923,7,6,198,188,0,0,0,2,29,25,234,221,0,0,44,49,0,0,0,0,17,6,61,55,295,276
ZCTA5 04924,04924,0,5,574,609,0,0,35,34,256,235,865,883,0,0,159,138,0,0,0,0,41,32,200,170,1065,1053
ZCTA5 04925,04925,0,0,8,45,0,0,0,0,0,0,8,45,0,0,205,175,0,0,0,0,4,4,209,179,217,224
ZCTA5 04926,04926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 04927,04927,5,8,968,1004,0,0,78,69,374,322,1425,1403,0,0,71,45,0,0,0,0,100,80,171,125,1596,1528
ZCTA5 04928,04928,10,7,610,579,12,5,34,21,189,249,855,861,0,0,111,106,0,0,0,0,43,37,154,143,1009,1004
ZCTA5 04929,04929,8,2,200,207,0,0,30,16,86,84,324,309,0,0,40,42,0,0,0,0,14,0,54,42,378,351
ZCTA5 04930,04930,0,9,1409,1386,14,22,295,276,241,332,1959,2025,0,0,398,345,0,0,121,47,80,46,599,438,2558,2463
ZCTA5 04932,04932,0,0,415,432,0,0,4,4,89,95,508,531,0,0,32,9,0,0,18,9,16,14,66,32,574,563
ZCTA5 04936,04936,0,0,108,130,0,0,3,3,0,0,111,133,0,0,599,545,0,0,0,0,29,18,628,563,739,696
ZCTA5 04937,04937,0,0,2003,1912,57,71,319,278,468,560,2847,2821,0,0,52,129,82,70,28,21,0,0,162,220,3009,3041
ZCTA5 04938,04938,62,63,2511,2360,403,380,687,666,477,530,4140,3999,0,0,675,758,0,0,48,48,146,131,869,937,5009,4936
ZCTA5 04939,04939,0,1,274,276,0,0,0,0,111,96,385,373,0,0,54,56,0,0,0,0,10,25,64,81,449,454
ZCTA5 04940,04940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 04941,04941,49,53,520,498,0,0,6,6,132,106,707,663,0,0,130,115,0,0,0,0,13,13,143,128,850,791
ZCTA5 04942,04942,1,0,491,492,0,0,9,8,29,44,530,544,11,9,503,458,0,0,0,0,46,42,560,509,1090,1053
ZCTA5 04943,04943,0,0,520,565,22,26,67,47,127,116,736,754,0,0,313,302,0,0,27,31,17,15,357,348,1093,1102
ZCTA5 04944,04944,0,0,37,16,0,0,0,0,0,0,37,16,0,0,0,0,0,0,0,0,0,0,0,0,37,16
ZCTA5 04945,04945,0,0,510,547,5,10,42,27,43,62,600,646,0,0,537,499,0,0,12,7,57,52,606,558,1206,1204
ZCTA5 04947,04947,15,15,605,607,86,85,44,44,64,64,814,815,216,246,1055,1031,381,430,394,374,31,23,2077,2104,2891,2919
ZCTA5 04949,04949,0,14,297,289,0,0,35,45,71,67,403,415,0,0,386,385,0,0,0,0,0,0,386,385,789,800
ZCTA5 04950,04950,20,19,1339,1304,48,126,248,390,428,425,2083,2264,0,0,527,446,43,0,0,0,88,45,658,491,2741,2755
ZCTA5 04951,04951,0,0,403,376,0,0,5,5,66,67,474,448,0,0,30,29,0,0,9,0,9,19,48,48,522,496
ZCTA5 04952,04952,0,0,556,604,9,9,8,4,183,185,756,802,0,0,43,46,0,0,0,0,9,21,52,67,808,869
ZCTA5 04953,04953,11,23,1008,1000,42,11,213,278,206,177,1480,1489,0,0,304,268,0,0,25,40,33,33,362,341,1842,1830
ZCTA5 04955,04955,3,2,456,446,0,0,11,11,121,153,591,612,0,0,107,96,0,0,0,0,18,19,125,115,716,727
ZCTA5 04956,04956,0,0,225,178,0,0,3,2,36,54,264,234,0,0,164,154,0,0,0,0,19,19,183,173,447,407
ZCTA5 04957,04957,14,18,1151,1284,21,10,56,46,405,363,1647,1721,0,2,181,201,0,0,26,24,129,102,336,329,1983,2050
ZCTA5 04958,04958,6,12,712,684,0,0,0,0,198,210,916,906,0,0,596,516,0,0,11,10,11,22,618,548,1534,1454
ZCTA5 04961,04961,2,3,335,366,9,9,5,6,24,36,375,420,0,0,589,579,0,0,0,0,38,37,627,616,1002,1036
ZCTA5 04963,04963,0,0,2398,2436,19,30,263,336,453,414,3133,3216,0,0,890,861,0,0,98,90,114,112,1102,1063,4235,4279
ZCTA5 04964,04964,0,0,73,69,0,0,0,0,0,0,73,69,14,0,845,919,0,0,0,0,18,18,877,937,950,1006
ZCTA5 04965,04965,8,8,550,486,0,0,4,21,242,320,804,835,0,0,57,44,0,0,0,0,0,0,57,44,861,879
ZCTA5 04966,04966,12,5,544,512,12,8,51,59,83,95,702,679,2,2,435,474,0,0,3,0,40,50,480,526,1182,1205
ZCTA5 04967,04967,10,0,1048,1043,11,8,307,264,197,318,1573,1633,0,0,103,101,0,0,71,35,47,46,221,182,1794,1815
ZCTA5 04969,04969,4,3,351,366,0,0,3,4,136,120,494,493,0,0,110,97,0,0,0,0,0,0,110,97,604,590
ZCTA5 04970,04970,9,11,584,567,12,15,122,127,39,6,766,726,79,54,1543,1431,5,5,30,43,32,27,1689,1560,2455,2286
ZCTA5 04971,04971,6,6,640,673,0,0,28,27,129,121,803,827,0,0,395,432,0,0,0,0,16,14,411,446,1214,1273
ZCTA5 04973,04973,3,3,475,472,0,0,9,7,90,116,577,598,0,0,137,107,0,0,8,9,15,16,160,132,737,730
ZCTA5 04974,04974,60,54,703,790,31,36,206,148,292,265,1292,1293,0,0,291,335,0,0,0,0,0,0,291,335,1583,1628
ZCTA5 04975,04975,0,0,26,36,0,0,0,0,0,0,26,36,0,0,0,0,0,0,0,0,0,0,0,0,26,36
ZCTA5 04976,04976,8,23,2873,2960,150,107,724,668,664,794,4419,4552,0,0,260,258,36,42,168,89,33,26,497,415,4916,4967
ZCTA5 04978,04978,3,3,376,362,2,0,4,0,42,56,427,421,3,3,259,270,0,0,0,0,8,10,270,283,697,704
ZCTA5 04979,04979,4,0,298,333,0,0,7,7,74,56,383,396,0,0,189,175,0,0,9,8,14,14,212,197,595,593
ZCTA5 04981,04981,65,74,806,856,0,0,63,61,204,198,1138,1189,25,22,100,112,0,0,55,46,17,10,197,190,1335,1379
ZCTA5 04982,04982,0,0,104,80,10,24,56,67,17,13,187,184,0,0,349,364,0,0,0,0,18,15,367,379,554,563
ZCTA5 04983,04983,7,6,556,639,1,1,16,18,46,53,626,717,0,0,302,316,0,0,9,10,38,32,349,358,975,1075
ZCTA5 04984,04984,0,0,233,213,3,2,6,0,22,19,264,234,0,0,108,112,0,0,0,0,0,0,108,112,372,346
ZCTA5 04985,04985,0,0,68,77,0,0,0,0,4,3,72,80,0,0,369,332,0,0,0,0,15,17,384,349,456,429
ZCTA5 04986,04986,8,13,540,518,2,2,38,38,131,123,719,694,0,0,107,93,0,0,5,0,21,15,133,108,852,802
ZCTA5 04987,04987,0,3,355,346,0,0,0,3,77,59,432,411,0,0,50,58,0,0,0,0,27,43,77,101,509,512
ZCTA5 04988,04988,0,9,468,474,31,31,141,113,64,63,704,690,0,0,233,188,0,0,32,30,0,21,265,239,969,929
ZCTA5 04989,04989,7,35,1423,1399,21,21,210,141,338,409,1999,2005,0,0,149,171,0,0,53,29,36,91,238,291,2237,2296
ZCTA5 04992,04992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 05001,05001,147,147,2125,2062,428,418,872,1089,378,415,3950,4131,35,94,413,409,107,73,184,142,85,83,824,801,4774,4932
ZCTA5 05009,05009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 05030,05030,0,0,71,64,0,0,0,0,0,0,71,64,0,0,0,0,0,0,0,0,0,0,0,0,71,64
ZCTA5 05031,05031,0,0,19,18,0,0,0,0,0,0,19,18,0,11,74,65,0,0,0,0,10,9,84,85,103,103
ZCTA5 05032,05032,75,49,860,868,12,5,115,126,70,87,1132,1135,0,0,225,264,8,0,61,67,0,34,294,365,1426,1500
ZCTA5 05033,05033,0,26,917,990,0,13,267,187,120,110,1304,1326,21,20,126,117,0,0,14,13,0,0,161,150,1465,1476
ZCTA5 05034,05034,0,0,37,49,8,17,29,27,6,15,80,108,0,0,69,43,0,0,13,17,0,12,82,72,162,180
ZCTA5 05035,05035,9,9,323,309,0,0,31,30,5,14,368,362,0,0,171,161,0,0,5,17,9,6,185,184,553,546
ZCTA5 05036,05036,7,8,474,446,0,0,0,0,41,35,522,489,0,0,95,79,0,0,9,11,21,21,125,111,647,600
ZCTA5 05037,05037,33,32,331,361,0,4,6,5,0,0,370,402,9,0,171,131,58,40,67,84,10,10,315,265,685,667
ZCTA5 05038,05038,0,0,503,474,15,17,28,21,42,49,588,561,0,0,185,175,0,0,21,26,9,30,215,231,803,792
ZCTA5 05039,05039,2,4,434,378,0,0,0,0,32,31,468,413,0,0,88,126,0,0,3,4,43,44,134,174,602,587
ZCTA5 05040,05040,0,0,277,255,4,3,3,0,9,11,293,269,0,0,31,37,0,0,0,0,0,0,31,37,324,306
ZCTA5 05041,05041,12,12,34,54,0,0,5,11,13,12,64,89,0,0,0,0,0,0,24,24,0,0,24,24,88,113
ZCTA5 05042,05042,0,0,261,222,0,0,16,3,27,30,304,255,0,0,64,103,0,0,0,0,10,11,74,114,378,369
ZCTA5 05043,05043,0,0,420,375,0,0,47,56,26,16,493,447,0,0,48,43,0,0,0,0,0,0,48,43,541,490
ZCTA5 05045,05045,19,17,741,770,7,9,60,61,21,7,848,864,19,10,162,160,0,0,0,0,0,0,181,170,1029,1034
ZCTA5 05046,05046,27,20,444,449,0,0,28,24,42,27,541,520,10,9,241,208,0,0,18,29,0,11,269,257,810,777
ZCTA5 05048,05048,35,30,880,878,0,0,46,45,94,45,1055,998,0,0,158,179,0,0,0,0,10,0,168,179,1223,1177
ZCTA5 05050,05050,0,0,33,41,0,0,32,23,0,0,65,64,0,0,10,10,0,0,0,0,0,0,10,10,75,74
ZCTA5 05051,05051,4,3,449,361,21,21,23,32,49,15,546,432,0,0,208,186,0,0,5,4,0,0,213,190,759,622
ZCTA5 05052,05052,0,0,111,157,0,0,20,10,13,26,144,193,0,0,33,25,0,0,0,0,0,0,33,25,177,218
ZCTA5 05053,05053,0,0,85,96,0,0,22,12,0,5,107,113,0,0,23,10,0,0,0,0,0,0,23,10,130,123
ZCTA5 05055,05055,87,73,996,1018,43,27,115,109,0,0,1241,1227,0,0,172,143,0,0,0,0,0,0,172,143,1413,1370
ZCTA5 05056,05056,14,5,118,114,0,0,38,24,0,0,170,143,0,22,395,387,0,0,48,45,12,6,455,460,625,603
ZCTA5 05058,05058,0,0,78,108,0,0,0,0,0,0,78,108,0,0,0,0,0,0,0,0,0,0,0,0,78,108
ZCTA5 05059,05059,0,0,242,253,0,0,13,4,0,0,255,257,0,75,242,223,73,71,272,186,0,0,587,555,842,812
ZCTA5 05060,05060,17,11,1377,1294,78,83,348,356,153,219,1973,1963,0,0,267,208,0,0,41,11,30,31,338,250,2311,2213
ZCTA5 05061,05061,68,77,421,483,27,47,12,23,133,116,661,746,0,0,15,27,0,0,0,0,0,0,15,27,676,773
ZCTA5 05062,05062,0,11,195,237,0,0,0,0,1,2,196,250,0,0,126,120,0,0,0,0,11,13,137,133,333,383
ZCTA5 05065,05065,10,0,325,323,0,0,41,33,57,59,433,415,0,0,74,73,0,0,0,0,25,34,99,107,532,522
ZCTA5 05067,05067,0,0,72,77,0,0,0,6,0,0,72,83,0,0,29,25,0,0,0,0,5,5,34,30,106,113
ZCTA5 05068,05068,35,34,989,1086,12,19,88,118,109,87,1233,1344,0,0,281,199,54,49,119,115,0,0,454,363,1687,1707
ZCTA5 05069,05069,0,0,224,284,0,0,15,3,9,10,248,297,0,0,49,61,0,0,6,4,0,0,55,65,303,362
ZCTA5 05070,05070,0,0,174,158,0,0,11,24,8,9,193,191,0,0,46,37,0,0,0,0,0,0,46,37,239,228
ZCTA5 05071,05071,0,0,79,68,0,0,0,0,0,0,79,68,0,0,124,53,0,0,0,0,0,0,124,53,203,121
ZCTA5 05072,05072,18,21,249,259,0,0,13,19,0,3,280,302,0,0,42,38,0,0,0,0,0,0,42,38,322,340
ZCTA5 05073,05073,0,0,12,27,0,0,0,0,0,0,12,27,0,0,0,0,0,0,0,0,0,0,0,0,12,27
ZCTA5 05075,05075,0,0,466,548,0,0,28,38,46,21,540,607,0,0,90,106,0,0,0,0,0,0,90,106,630,713
ZCTA5 05076,05076,0,0,176,202,0,0,0,0,31,27,207,229,0,0,42,33,0,0,0,0,28,25,70,58,277,287
ZCTA5 05077,05077,0,0,425,375,0,0,17,16,31,28,473,419,0,0,91,112,0,0,0,11,4,4,95,127,568,546
ZCTA5 05079,05079,0,0,342,321,0,0,22,39,32,40,396,400,0,0,87,87,0,0,0,0,5,6,92,93,488,493
ZCTA5 05081,05081,5,0,177,251,9,19,51,72,8,23,250,365,0,0,141,123,0,0,5,5,0,0,146,128,396,493
ZCTA5 05083,05083,0,0,73,65,0,0,5,6,22,12,100,83,0,0,0,0,0,0,0,0,0,0,0,0,100,83
ZCTA5 05084,05084,0,0,53,48,0,0,0,0,0,0,53,48,0,0,0,0,0,0,0,0,0,0,0,0,53,48
ZCTA5 05086,05086,0,0,232,224,0,0,0,0,16,30,248,254,0,0,97,72,0,0,0,0,29,18,126,90,374,344
ZCTA5 05088,05088,55,47,288,232,0,0,52,147,0,0,395,426,0,0,23,21,0,0,0,0,0,0,23,21,418,447
ZCTA5 05089,05089,58,80,1436,1391,126,164,396,391,149,155,2165,2181,0,0,173,194,38,38,67,42,5,4,283,278,2448,2459
ZCTA5 05091,05091,79,111,1154,1090,33,29,254,238,50,51,1570,1519,11,10,519,575,0,0,99,90,0,11,629,686,2199,2205
