Geographic_Area_Name,zipCode,Charged_for_other_fuels!!$250_to_$749_2021,Charged_for_other_fuels!!$250_to_$749_2022,Charged_for_other_fuels!!$250_to_$749_2023,Charged_for_other_fuels!!$750+units_2021,Charged_for_other_fuels!!$750+units_2022,Charged_for_other_fuels!!$750+units_2023,Charged_for_other_fuels!!Less_than_$250_2021,Charged_for_other_fuels!!Less_than_$250_2022,Charged_for_other_fuels!!Less_than_$250_2023,Charged_for_other_fuels_2021,Charged_for_other_fuels_2022,Charged_for_other_fuels_2023,"Not_charged,_not_used,_or_payment_included_in_other_fees_2021","Not_charged,_not_used,_or_payment_included_in_other_fees_2022","Not_charged,_not_used,_or_payment_included_in_other_fees_2023",Total_2021,Total_2022,Total_2023
ZCTA5 82922,82922,0,0,0,8,35,23,18,0,0,26,35,23,143,132,118,169,167,141
ZCTA5 82923,82923,0,0,0,0,0,0,19,19,35,19,19,35,257,258,259,276,277,294
ZCTA5 82925,82925,0,0,40,0,0,0,0,11,11,0,11,51,162,128,138,162,139,189
ZCTA5 82929,82929,0,0,0,0,0,0,0,0,0,0,0,0,18,7,6,18,7,6
ZCTA5 82930,82930,374,244,272,98,174,266,217,158,194,689,576,732,4940,5026,4699,5629,5602,5431
ZCTA5 82932,82932,7,26,31,8,11,16,0,0,0,15,37,47,286,313,320,301,350,367
ZCTA5 82933,82933,80,80,74,19,6,16,14,9,7,113,95,97,87,130,103,200,225,200
ZCTA5 82934,82934,4,0,0,0,4,4,0,0,0,4,4,4,52,80,96,56,84,100
ZCTA5 82935,82935,129,103,100,68,70,114,202,150,102,399,323,316,4095,4325,4399,4494,4648,4715
ZCTA5 82936,82936,6,6,6,0,0,0,0,0,0,6,6,6,0,0,11,6,6,17
ZCTA5 82937,82937,83,67,73,95,58,89,124,52,57,302,177,219,869,914,949,1171,1091,1168
ZCTA5 82938,82938,26,29,25,0,0,0,28,30,23,54,59,48,45,50,80,99,109,128
ZCTA5 82939,82939,88,63,61,5,10,10,31,54,55,124,127,126,459,432,450,583,559,576
ZCTA5 82941,82941,134,112,68,74,119,186,358,246,161,566,477,415,1215,1374,1486,1781,1851,1901
ZCTA5 82942,82942,0,0,0,0,0,0,0,0,0,0,0,0,45,39,9,45,39,9
ZCTA5 82943,82943,0,0,0,0,0,0,0,0,0,0,0,0,76,61,80,76,61,80
ZCTA5 82944,82944,0,0,0,0,0,0,32,22,0,32,22,0,82,103,93,114,125,93
ZCTA5 82945,82945,0,0,0,35,35,39,0,0,0,35,35,39,27,46,51,62,81,90
ZCTA5 83001,83001,176,316,271,135,102,114,88,164,185,399,582,570,6897,6570,6320,7296,7152,6890
ZCTA5 83011,83011,0,36,35,0,0,0,0,0,0,0,36,35,104,84,90,104,120,125
ZCTA5 83012,83012,0,0,0,0,0,0,0,0,0,0,0,0,41,54,46,41,54,46
ZCTA5 83013,83013,0,0,0,0,0,0,0,0,0,0,0,0,65,173,167,65,173,167
ZCTA5 83014,83014,203,194,153,39,53,57,147,154,155,389,401,365,836,884,994,1225,1285,1359
ZCTA5 83025,83025,40,44,0,38,55,50,0,0,0,78,99,50,357,385,458,435,484,508
ZCTA5 83101,83101,220,182,177,50,159,174,46,24,14,316,365,365,1123,1088,1169,1439,1453,1534
ZCTA5 83110,83110,161,167,235,65,99,139,87,63,46,313,329,420,1437,1438,1461,1750,1767,1881
ZCTA5 83111,83111,0,18,20,0,0,0,29,29,0,29,47,20,160,101,135,189,148,155
ZCTA5 83112,83112,0,0,0,41,47,61,12,128,79,53,175,140,133,102,147,186,277,287
ZCTA5 83113,83113,46,48,71,41,38,56,20,36,60,107,122,187,726,753,853,833,875,1040
ZCTA5 83114,83114,8,1,0,37,55,59,93,81,76,138,137,135,134,145,145,272,282,280
ZCTA5 83115,83115,0,0,17,28,26,0,0,4,4,28,30,21,88,138,133,116,168,154
ZCTA5 83116,83116,14,20,23,9,12,12,10,9,12,33,41,47,295,261,241,328,302,288
ZCTA5 83118,83118,0,0,0,0,0,39,59,0,0,59,0,39,280,177,206,339,177,245
ZCTA5 83119,83119,44,45,0,0,0,0,0,0,0,44,45,0,34,35,34,78,80,34
ZCTA5 83120,83120,67,54,33,8,10,10,25,0,0,100,64,43,36,41,39,136,105,82
ZCTA5 83121,83121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 83122,83122,37,35,0,0,0,0,30,33,44,67,68,44,117,172,204,184,240,248
ZCTA5 83123,83123,9,9,14,109,105,131,0,0,4,118,114,149,147,159,139,265,273,288
ZCTA5 83124,83124,23,24,29,1,6,7,2,2,2,26,32,38,25,24,24,51,56,62
ZCTA5 83126,83126,9,0,0,68,67,34,23,0,0,100,67,34,78,74,123,178,141,157
