Geographic_Area_Name,zipCode,Charged_for_other_fuels!!$250_to_$749_2021,Charged_for_other_fuels!!$250_to_$749_2022,Charged_for_other_fuels!!$250_to_$749_2023,Charged_for_other_fuels!!$750+units_2021,Charged_for_other_fuels!!$750+units_2022,Charged_for_other_fuels!!$750+units_2023,Charged_for_other_fuels!!Less_than_$250_2021,Charged_for_other_fuels!!Less_than_$250_2022,Charged_for_other_fuels!!Less_than_$250_2023,Charged_for_other_fuels_2021,Charged_for_other_fuels_2022,Charged_for_other_fuels_2023,"Not_charged,_not_used,_or_payment_included_in_other_fees_2021","Not_charged,_not_used,_or_payment_included_in_other_fees_2022","Not_charged,_not_used,_or_payment_included_in_other_fees_2023",Total_2021,Total_2022,Total_2023
ZCTA5 04612,04612,30,33,33,120,122,139,0,0,0,150,155,172,72,64,96,222,219,268
ZCTA5 04613,04613,11,6,7,7,7,16,0,0,0,18,13,23,24,30,34,42,43,57
ZCTA5 04614,04614,190,94,120,410,512,592,92,121,136,692,727,848,536,576,475,1228,1303,1323
ZCTA5 04616,04616,30,24,37,175,160,181,31,27,21,236,211,239,113,139,135,349,350,374
ZCTA5 04617,04617,58,41,22,189,186,178,25,25,16,272,252,216,76,76,101,348,328,317
ZCTA5 04619,04619,118,53,43,614,669,665,128,99,47,860,821,755,804,774,701,1664,1595,1456
ZCTA5 04622,04622,34,27,24,170,172,252,8,12,11,212,211,287,185,185,191,397,396,478
ZCTA5 04623,04623,30,28,27,231,254,256,9,12,6,270,294,289,96,131,161,366,425,450
ZCTA5 04624,04624,2,3,2,34,50,57,0,0,0,36,53,59,67,39,46,103,92,105
ZCTA5 04625,04625,3,0,0,22,13,15,4,1,0,29,14,15,3,6,13,32,20,28
ZCTA5 04626,04626,28,29,28,127,109,110,16,20,24,171,158,162,69,56,70,240,214,232
ZCTA5 04627,04627,44,56,77,449,400,347,26,27,29,519,483,453,288,379,373,807,862,826
ZCTA5 04628,04628,46,44,44,107,94,137,10,8,6,163,146,187,78,80,49,241,226,236
ZCTA5 04630,04630,38,44,57,320,360,310,24,16,13,382,420,380,147,149,177,529,569,557
ZCTA5 04631,04631,47,35,43,225,261,230,26,35,34,298,331,307,301,281,316,599,612,623
ZCTA5 04634,04634,134,107,92,272,288,310,59,61,59,465,456,461,381,388,487,846,844,948
ZCTA5 04635,04635,1,1,1,4,4,5,1,2,2,6,7,8,0,0,1,6,7,9
ZCTA5 04640,04640,61,60,81,489,465,497,16,33,36,566,558,614,493,507,475,1059,1065,1089
ZCTA5 04642,04642,14,20,32,29,39,39,6,6,8,49,65,79,29,27,42,78,92,121
ZCTA5 04643,04643,17,20,22,207,186,219,16,15,6,240,221,247,80,134,140,320,355,387
ZCTA5 04645,04645,0,0,0,0,2,7,0,0,0,0,2,7,22,29,34,22,31,41
ZCTA5 04646,04646,2,3,3,14,10,14,2,6,6,18,19,23,23,26,32,41,45,55
ZCTA5 04648,04648,36,18,7,160,149,151,8,11,9,204,178,167,59,54,62,263,232,229
ZCTA5 04649,04649,93,84,85,242,252,259,2,11,14,337,347,358,204,206,218,541,553,576
ZCTA5 04650,04650,24,43,54,25,31,24,43,44,40,92,118,118,41,39,69,133,157,187
ZCTA5 04652,04652,31,30,43,362,393,409,45,45,41,438,468,493,289,293,274,727,761,767
ZCTA5 04653,04653,9,18,18,145,154,131,12,12,12,166,184,161,152,106,107,318,290,268
ZCTA5 04654,04654,81,95,106,607,616,608,28,35,31,716,746,745,566,569,573,1282,1315,1318
ZCTA5 04655,04655,39,41,51,259,236,252,10,7,8,308,284,311,88,100,106,396,384,417
ZCTA5 04657,04657,14,12,9,55,60,62,8,3,4,77,75,75,67,75,95,144,150,170
ZCTA5 04658,04658,51,61,72,317,295,274,31,31,45,399,387,391,137,158,149,536,545,540
ZCTA5 04660,04660,40,65,58,200,178,148,23,14,14,263,257,220,239,242,292,502,499,512
ZCTA5 04662,04662,50,48,43,111,103,100,0,0,0,161,151,143,77,44,69,238,195,212
ZCTA5 04664,04664,56,29,27,187,254,223,16,22,27,259,305,277,223,247,239,482,552,516
ZCTA5 04666,04666,60,67,57,297,325,310,25,13,6,382,405,373,135,148,179,517,553,552
ZCTA5 04667,04667,34,33,21,222,222,231,21,23,16,277,278,268,259,235,250,536,513,518
ZCTA5 04668,04668,84,60,69,154,180,217,44,39,25,282,279,311,478,482,574,760,761,885
ZCTA5 04669,04669,0,6,6,20,21,24,14,16,16,34,43,46,22,25,30,56,68,76
ZCTA5 04671,04671,22,15,23,132,154,169,13,12,13,167,181,205,50,50,41,217,231,246
ZCTA5 04673,04673,7,3,3,55,66,62,5,6,5,67,75,70,1,12,31,68,87,101
ZCTA5 04674,04674,14,13,20,51,78,56,1,2,2,66,93,78,45,24,32,111,117,110
ZCTA5 04675,04675,21,20,21,35,26,32,0,0,0,56,46,53,24,4,5,80,50,58
ZCTA5 04676,04676,142,125,114,239,233,212,38,35,35,419,393,361,156,163,184,575,556,545
ZCTA5 04677,04677,13,11,14,61,71,84,10,6,2,84,88,100,47,42,47,131,130,147
ZCTA5 04679,04679,34,46,41,307,316,361,10,30,36,351,392,438,357,330,314,708,722,752
ZCTA5 04680,04680,97,82,102,219,224,249,45,42,44,361,348,395,153,164,136,514,512,531
ZCTA5 04681,04681,25,38,42,230,188,212,3,6,6,258,232,260,219,223,258,477,455,518
ZCTA5 04683,04683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 04684,04684,73,87,91,500,450,447,35,43,34,608,580,572,250,281,300,858,861,872
ZCTA5 04685,04685,35,30,27,111,121,120,14,11,7,160,162,154,35,36,35,195,198,189
ZCTA5 04686,04686,10,13,12,37,48,48,0,0,0,47,61,60,19,22,21,66,83,81
ZCTA5 04691,04691,14,39,39,123,154,155,28,9,13,165,202,207,23,30,39,188,232,246
ZCTA5 04693,04693,12,12,13,60,65,80,4,3,4,76,80,97,154,149,142,230,229,239
ZCTA5 04694,04694,108,118,126,468,544,506,59,44,39,635,706,671,309,281,356,944,987,1027
ZCTA5 04730,04730,387,361,262,1625,1845,2026,193,149,180,2205,2355,2468,1827,1704,1672,4032,4059,4140
ZCTA5 04732,04732,28,38,28,347,355,320,18,18,29,393,411,377,338,342,356,731,753,733
ZCTA5 04733,04733,60,38,32,30,22,25,10,12,11,100,72,68,56,76,98,156,148,166
ZCTA5 04734,04734,31,19,16,185,171,181,26,15,0,242,205,197,97,103,94,339,308,291
ZCTA5 04735,04735,34,26,15,104,108,128,4,4,1,142,138,144,61,88,104,203,226,248
ZCTA5 04736,04736,382,277,291,2029,2045,1965,189,182,210,2600,2504,2466,1539,1632,1716,4139,4136,4182
ZCTA5 04737,04737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 04739,04739,28,26,27,201,186,201,16,24,21,245,236,249,86,95,84,331,331,333
ZCTA5 04740,04740,52,65,56,293,269,302,7,4,5,352,338,363,242,212,230,594,550,593
ZCTA5 04742,04742,140,101,115,685,804,766,37,18,23,862,923,904,441,460,531,1303,1383,1435
ZCTA5 04743,04743,80,99,120,999,976,1022,95,110,148,1174,1185,1290,765,807,806,1939,1992,2096
ZCTA5 04745,04745,19,29,32,251,248,217,14,16,13,284,293,262,92,96,118,376,389,380
ZCTA5 04746,04746,37,23,26,119,131,146,0,0,0,156,154,172,45,47,46,201,201,218
ZCTA5 04747,04747,90,79,56,261,256,282,33,22,27,384,357,365,178,186,210,562,543,575
ZCTA5 04750,04750,94,64,65,422,478,466,42,45,32,558,587,563,219,210,239,777,797,802
ZCTA5 04756,04756,97,110,100,793,786,750,29,30,27,919,926,877,591,698,759,1510,1624,1636
ZCTA5 04757,04757,183,142,136,553,578,541,35,23,25,771,743,702,318,371,394,1089,1114,1096
ZCTA5 04758,04758,53,62,79,223,194,225,11,11,13,287,267,317,245,314,290,532,581,607
ZCTA5 04760,04760,18,34,36,167,171,162,20,13,14,205,218,212,112,92,97,317,310,309
ZCTA5 04761,04761,53,42,37,41,47,63,5,6,5,99,95,105,73,85,80,172,180,185
ZCTA5 04762,04762,24,16,19,115,125,122,10,3,6,149,144,147,51,60,68,200,204,215
ZCTA5 04763,04763,44,38,42,137,134,129,13,9,12,194,181,183,110,133,139,304,314,322
ZCTA5 04764,04764,4,5,3,8,6,15,0,0,0,12,11,18,1,1,0,13,12,18
ZCTA5 04765,04765,79,79,68,227,251,358,19,14,13,325,344,439,136,135,196,461,479,635
ZCTA5 04766,04766,34,28,21,101,95,99,5,5,5,140,128,125,17,15,10,157,143,135
ZCTA5 04768,04768,28,23,22,86,119,107,14,15,8,128,157,137,50,46,58,178,203,195
ZCTA5 04769,04769,263,225,226,1601,1616,1657,198,184,131,2062,2025,2014,2095,2042,2032,4157,4067,4046
ZCTA5 04772,04772,63,74,76,235,225,234,6,6,2,304,305,312,92,78,92,396,383,404
ZCTA5 04773,04773,42,59,31,187,184,172,3,4,0,232,247,203,63,94,102,295,341,305
ZCTA5 04774,04774,40,28,29,184,205,202,28,32,25,252,265,256,60,62,87,312,327,343
ZCTA5 04776,04776,59,50,51,198,178,158,12,7,2,269,235,211,56,87,92,325,322,303
ZCTA5 04777,04777,20,13,6,69,78,97,9,10,14,98,101,117,54,57,73,152,158,190
ZCTA5 04779,04779,13,8,5,102,100,103,16,15,16,131,123,124,40,44,37,171,167,161
ZCTA5 04780,04780,37,45,46,217,200,216,21,21,33,275,266,295,60,63,60,335,329,355
ZCTA5 04781,04781,57,33,33,121,150,167,11,12,23,189,195,223,24,22,26,213,217,249
ZCTA5 04783,04783,23,29,27,130,131,127,5,7,6,158,167,160,41,41,52,199,208,212
ZCTA5 04785,04785,52,45,31,466,508,503,17,18,7,535,571,541,322,280,309,857,851,850
ZCTA5 04786,04786,71,63,63,366,357,368,46,20,29,483,440,460,260,288,310,743,728,770
ZCTA5 04787,04787,13,19,20,110,102,98,7,6,1,130,127,119,49,27,29,179,154,148
ZCTA5 04841,04841,332,201,218,1026,1098,1187,197,199,152,1555,1498,1557,1812,1873,1829,3367,3371,3386
ZCTA5 04843,04843,170,135,186,954,889,750,67,134,165,1191,1158,1101,1182,1210,1348,2373,2368,2449
ZCTA5 04847,04847,83,87,65,355,334,363,44,51,39,482,472,467,183,202,203,665,674,670
ZCTA5 04848,04848,34,38,40,149,141,139,14,15,12,197,194,191,132,150,173,329,344,364
ZCTA5 04849,04849,243,250,244,643,683,725,70,77,88,956,1010,1057,716,647,717,1672,1657,1774
ZCTA5 04851,04851,6,4,1,8,18,18,6,8,8,20,30,27,14,19,12,34,49,39
ZCTA5 04852,04852,4,5,8,8,11,11,1,1,3,13,17,22,30,27,31,43,44,53
ZCTA5 04853,04853,13,18,31,109,96,98,17,17,19,139,131,148,59,53,48,198,184,196
ZCTA5 04854,04854,67,53,51,205,227,214,48,41,48,320,321,313,376,374,324,696,695,637
ZCTA5 04855,04855,124,127,123,23,24,37,0,0,0,147,151,160,12,12,34,159,163,194
ZCTA5 04856,04856,252,240,241,506,545,515,48,31,41,806,816,797,558,605,647,1364,1421,1444
ZCTA5 04858,04858,68,81,85,276,265,251,33,38,60,377,384,396,181,194,200,558,578,596
ZCTA5 04859,04859,61,56,63,138,114,111,35,24,50,234,194,224,137,166,143,371,360,367
ZCTA5 04860,04860,148,119,154,341,296,265,47,68,59,536,483,478,289,388,311,825,871,789
ZCTA5 04861,04861,32,27,12,645,584,667,59,55,73,736,666,752,572,610,609,1308,1276,1361
ZCTA5 04862,04862,159,128,144,834,923,960,93,74,50,1086,1125,1154,632,545,589,1718,1670,1743
ZCTA5 04863,04863,37,45,44,266,274,281,7,7,11,310,326,336,169,174,216,479,500,552
ZCTA5 04864,04864,240,129,175,630,833,698,87,107,108,957,1069,981,600,593,578,1557,1662,1559
ZCTA5 04901,04901,530,589,595,4362,4108,4068,267,166,160,5159,4863,4823,5783,6082,6432,10942,10945,11255
ZCTA5 04910,04910,105,67,52,363,475,535,24,15,4,492,557,591,370,351,350,862,908,941
ZCTA5 04911,04911,134,123,102,350,374,400,15,17,9,499,514,511,307,307,289,806,821,800
ZCTA5 04912,04912,70,59,56,99,135,180,29,21,21,198,215,257,84,88,90,282,303,347
ZCTA5 04915,04915,542,424,358,1659,2025,1901,132,121,166,2333,2570,2425,1841,1657,1750,4174,4227,4175
ZCTA5 04917,04917,180,59,67,648,674,700,43,31,23,871,764,790,437,556,526,1308,1320,1316
ZCTA5 04918,04918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 04920,04920,159,189,118,277,290,387,35,52,32,471,531,537,369,378,385,840,909,922
ZCTA5 04921,04921,62,62,74,286,287,347,40,37,26,388,386,447,276,309,310,664,695,757
ZCTA5 04922,04922,72,63,51,138,149,173,34,32,23,244,244,247,168,133,185,412,377,432
ZCTA5 04923,04923,58,55,59,94,113,97,7,7,8,159,175,164,73,59,57,232,234,221
ZCTA5 04924,04924,161,166,199,419,321,327,65,81,79,645,568,605,275,297,278,920,865,883
ZCTA5 04925,04925,0,0,0,11,8,31,0,0,5,11,8,36,0,0,9,11,8,45
ZCTA5 04926,04926,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,10,0,0
ZCTA5 04927,04927,224,140,133,702,782,846,114,97,61,1040,1019,1040,422,406,363,1462,1425,1403
ZCTA5 04928,04928,187,163,155,422,472,503,21,28,30,630,663,688,238,192,173,868,855,861
ZCTA5 04929,04929,25,46,33,125,120,144,10,1,5,160,167,182,162,157,127,322,324,309
ZCTA5 04930,04930,162,194,283,1090,972,1023,61,45,21,1313,1211,1327,641,748,698,1954,1959,2025
ZCTA5 04932,04932,85,85,77,217,214,242,27,26,30,329,325,349,185,183,182,514,508,531
ZCTA5 04936,04936,12,3,20,49,49,23,6,7,0,67,59,43,45,52,90,112,111,133
ZCTA5 04937,04937,443,290,282,1102,1322,1377,41,41,43,1586,1653,1702,1305,1194,1119,2891,2847,2821
ZCTA5 04938,04938,291,395,358,1555,1690,1481,102,33,58,1948,2118,1897,1823,2022,2102,3771,4140,3999
ZCTA5 04939,04939,51,50,52,175,152,147,14,21,27,240,223,226,154,162,147,394,385,373
ZCTA5 04940,04940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 04941,04941,93,55,79,303,332,284,53,47,47,449,434,410,283,273,253,732,707,663
ZCTA5 04942,04942,58,64,79,236,266,274,28,34,30,322,364,383,206,166,161,528,530,544
ZCTA5 04943,04943,121,110,94,232,263,271,20,20,20,373,393,385,383,343,369,756,736,754
ZCTA5 04944,04944,0,0,0,32,37,16,0,0,0,32,37,16,0,0,0,32,37,16
ZCTA5 04945,04945,79,65,72,260,299,343,10,23,22,349,387,437,231,213,209,580,600,646
ZCTA5 04947,04947,54,65,70,254,258,230,73,56,42,381,379,342,409,435,473,790,814,815
ZCTA5 04949,04949,39,76,63,142,150,158,48,21,24,229,247,245,106,156,170,335,403,415
ZCTA5 04950,04950,384,188,153,797,1042,1058,12,8,22,1193,1238,1233,802,845,1031,1995,2083,2264
ZCTA5 04951,04951,65,53,41,176,221,229,20,10,8,261,284,278,214,190,170,475,474,448
ZCTA5 04952,04952,108,104,95,309,304,335,38,20,28,455,428,458,341,328,344,796,756,802
ZCTA5 04953,04953,176,166,136,697,774,768,47,39,21,920,979,925,505,501,564,1425,1480,1489
ZCTA5 04955,04955,84,88,66,313,292,312,31,36,28,428,416,406,143,175,206,571,591,612
ZCTA5 04956,04956,61,45,34,101,106,88,25,31,43,187,182,165,88,82,69,275,264,234
ZCTA5 04957,04957,402,392,344,530,490,577,165,125,128,1097,1007,1049,545,640,672,1642,1647,1721
ZCTA5 04958,04958,72,57,66,274,348,361,27,13,19,373,418,446,459,498,460,832,916,906
ZCTA5 04961,04961,21,19,34,231,228,243,21,14,23,273,261,300,124,114,120,397,375,420
ZCTA5 04963,04963,310,260,354,1440,1539,1412,163,74,74,1913,1873,1840,1173,1260,1376,3086,3133,3216
ZCTA5 04964,04964,0,0,0,14,18,13,0,0,0,14,18,13,70,55,56,84,73,69
ZCTA5 04965,04965,123,163,157,402,419,481,30,18,21,555,600,659,262,204,176,817,804,835
ZCTA5 04966,04966,97,98,105,330,385,340,34,18,28,461,501,473,242,201,206,703,702,679
ZCTA5 04967,04967,190,186,126,652,739,825,55,57,42,897,982,993,606,591,640,1503,1573,1633
ZCTA5 04969,04969,76,76,57,191,186,214,22,32,27,289,294,298,173,200,195,462,494,493
ZCTA5 04970,04970,178,160,189,264,321,246,21,6,11,463,487,446,270,279,280,733,766,726
ZCTA5 04971,04971,173,150,145,396,473,480,23,16,14,592,639,639,175,164,188,767,803,827
ZCTA5 04973,04973,93,88,85,157,176,169,27,30,24,277,294,278,269,283,320,546,577,598
ZCTA5 04974,04974,85,112,122,523,474,442,44,39,120,652,625,684,734,667,609,1386,1292,1293
ZCTA5 04975,04975,0,0,0,16,11,24,17,15,12,33,26,36,0,0,0,33,26,36
ZCTA5 04976,04976,419,345,286,1959,1966,1994,136,132,82,2514,2443,2362,1787,1976,2190,4301,4419,4552
ZCTA5 04978,04978,57,64,48,135,129,129,23,14,20,215,207,197,212,220,224,427,427,421
ZCTA5 04979,04979,69,51,57,183,228,225,10,5,0,262,284,282,92,99,114,354,383,396
ZCTA5 04981,04981,212,207,247,413,404,382,72,87,82,697,698,711,526,440,478,1223,1138,1189
ZCTA5 04982,04982,19,10,12,78,75,29,7,0,0,104,85,41,123,102,143,227,187,184
ZCTA5 04983,04983,71,102,123,283,290,320,57,37,47,411,429,490,191,197,227,602,626,717
ZCTA5 04984,04984,20,19,19,164,147,135,9,12,12,193,178,166,76,86,68,269,264,234
ZCTA5 04985,04985,2,6,8,19,29,34,0,0,0,21,35,42,31,37,38,52,72,80
ZCTA5 04986,04986,133,62,76,260,363,359,31,26,12,424,451,447,218,268,247,642,719,694
ZCTA5 04987,04987,54,42,44,151,186,186,32,26,25,237,254,255,167,178,156,404,432,411
ZCTA5 04988,04988,52,53,36,198,155,209,9,14,10,259,222,255,449,482,435,708,704,690
ZCTA5 04989,04989,296,254,223,1077,1167,1176,60,46,42,1433,1467,1441,530,532,564,1963,1999,2005
ZCTA5 04992,04992,0,0,0,53,0,0,0,0,0,53,0,0,59,0,0,112,0,0
ZCTA5 05001,05001,265,227,344,981,992,1133,133,98,35,1379,1317,1512,2749,2633,2619,4128,3950,4131
ZCTA5 05009,05009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 05030,05030,0,0,0,40,40,37,0,0,0,40,40,37,71,31,27,111,71,64
ZCTA5 05031,05031,0,0,0,10,19,18,0,0,0,10,19,18,0,0,0,10,19,18
ZCTA5 05032,05032,137,113,87,460,519,556,33,37,41,630,669,684,432,463,451,1062,1132,1135
ZCTA5 05033,05033,111,87,67,426,493,565,101,99,129,638,679,761,634,625,565,1272,1304,1326
ZCTA5 05034,05034,12,1,1,20,16,20,0,0,0,32,17,21,66,63,87,98,80,108
ZCTA5 05035,05035,39,27,24,147,180,189,32,32,30,218,239,243,103,129,119,321,368,362
ZCTA5 05036,05036,58,47,48,201,211,204,19,21,12,278,279,264,207,243,225,485,522,489
ZCTA5 05037,05037,62,65,62,95,91,130,20,28,24,177,184,216,198,186,186,375,370,402
ZCTA5 05038,05038,45,35,30,207,221,230,41,37,33,293,293,293,300,295,268,593,588,561
ZCTA5 05039,05039,61,43,41,130,157,140,27,20,21,218,220,202,254,248,211,472,468,413
ZCTA5 05040,05040,35,48,51,113,98,101,12,14,15,160,160,167,121,133,102,281,293,269
ZCTA5 05041,05041,0,0,0,36,41,63,0,0,0,36,41,63,31,23,26,67,64,89
ZCTA5 05042,05042,30,20,17,108,144,131,13,15,10,151,179,158,126,125,97,277,304,255
ZCTA5 05043,05043,88,70,69,164,103,73,25,18,9,277,191,151,260,302,296,537,493,447
ZCTA5 05045,05045,137,159,131,352,354,391,24,31,33,513,544,555,263,304,309,776,848,864
ZCTA5 05046,05046,86,63,61,202,248,235,13,15,15,301,326,311,211,215,209,512,541,520
ZCTA5 05048,05048,181,128,150,362,466,388,44,40,20,587,634,558,589,421,440,1176,1055,998
ZCTA5 05050,05050,19,22,0,17,25,35,3,0,0,39,47,35,16,18,29,55,65,64
ZCTA5 05051,05051,40,67,64,210,233,169,10,5,9,260,305,242,261,241,190,521,546,432
ZCTA5 05052,05052,25,60,80,20,22,52,0,0,0,45,82,132,30,62,61,75,144,193
ZCTA5 05053,05053,3,9,11,39,47,44,4,4,15,46,60,70,64,47,43,110,107,113
ZCTA5 05055,05055,188,108,104,316,348,398,66,65,30,570,521,532,650,720,695,1220,1241,1227
ZCTA5 05056,05056,14,8,15,36,45,36,17,14,18,67,67,69,78,103,74,145,170,143
ZCTA5 05058,05058,3,0,53,21,25,3,12,0,0,36,25,56,36,53,52,72,78,108
ZCTA5 05059,05059,0,0,0,91,111,95,0,0,0,91,111,95,187,144,162,278,255,257
ZCTA5 05060,05060,293,278,237,960,871,858,105,78,69,1358,1227,1164,677,746,799,2035,1973,1963
ZCTA5 05061,05061,140,147,112,171,212,241,21,20,0,332,379,353,248,282,393,580,661,746
ZCTA5 05062,05062,23,19,42,93,114,116,6,6,6,122,139,164,68,57,86,190,196,250
ZCTA5 05065,05065,68,37,36,155,186,181,48,35,25,271,258,242,170,175,173,441,433,415
ZCTA5 05067,05067,21,23,22,22,13,16,0,0,6,43,36,44,28,36,39,71,72,83
ZCTA5 05068,05068,124,107,149,582,563,583,82,77,87,788,747,819,521,486,525,1309,1233,1344
ZCTA5 05069,05069,22,22,45,130,100,127,16,18,16,168,140,188,103,108,109,271,248,297
ZCTA5 05070,05070,38,53,41,35,41,52,25,23,10,98,117,103,83,76,88,181,193,191
ZCTA5 05071,05071,7,7,7,15,10,16,0,0,0,22,17,23,49,62,45,71,79,68
ZCTA5 05072,05072,49,59,63,55,51,86,5,6,7,109,116,156,151,164,146,260,280,302
ZCTA5 05073,05073,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,0,12,27
ZCTA5 05075,05075,54,64,52,239,248,283,13,13,38,306,325,373,174,215,234,480,540,607
ZCTA5 05076,05076,31,29,32,100,121,136,4,4,11,135,154,179,65,53,50,200,207,229
ZCTA5 05077,05077,44,55,49,183,169,144,24,24,22,251,248,215,235,225,204,486,473,419
ZCTA5 05079,05079,58,35,38,122,118,90,49,51,56,229,204,184,155,192,216,384,396,400
ZCTA5 05081,05081,28,26,57,76,77,86,20,12,10,124,115,153,130,135,212,254,250,365
ZCTA5 05083,05083,9,10,11,28,41,44,12,12,5,49,63,60,34,37,23,83,100,83
ZCTA5 05084,05084,4,8,3,13,12,8,0,0,0,17,20,11,11,33,37,28,53,48
ZCTA5 05086,05086,28,29,21,91,96,116,6,3,1,125,128,138,98,120,116,223,248,254
ZCTA5 05088,05088,0,0,0,190,131,91,0,0,0,190,131,91,275,264,335,465,395,426
ZCTA5 05089,05089,160,160,151,789,899,816,48,24,25,997,1083,992,1017,1082,1189,2014,2165,2181
ZCTA5 05091,05091,187,198,163,611,523,528,53,50,40,851,771,731,743,799,788,1594,1570,1519
ZCTA5 05101,05101,190,183,168,870,995,1056,50,76,71,1110,1254,1295,689,636,618,1799,1890,1913
ZCTA5 05141,05141,0,0,0,2,15,13,0,0,0,2,15,13,78,47,46,80,62,59
ZCTA5 05142,05142,20,0,0,78,88,104,9,18,18,107,106,122,153,132,115,260,238,237
ZCTA5 05143,05143,356,333,379,709,783,784,88,120,130,1153,1236,1293,738,717,699,1891,1953,1992
ZCTA5 05146,05146,19,12,10,124,133,168,5,4,2,148,149,180,76,111,100,224,260,280
ZCTA5 05148,05148,69,98,106,235,242,222,35,36,36,339,376,364,238,253,327,577,629,691
ZCTA5 05149,05149,66,66,68,364,409,466,37,45,46,467,520,580,497,421,441,964,941,1021
ZCTA5 05150,05150,30,13,22,71,49,45,0,0,0,101,62,67,156,192,180,257,254,247
ZCTA5 05151,05151,74,63,63,302,294,397,11,10,0,387,367,460,222,219,127,609,586,587
ZCTA5 05152,05152,3,10,8,33,32,57,16,18,16,52,60,81,120,106,91,172,166,172
ZCTA5 05153,05153,8,26,19,111,126,138,32,24,13,151,176,170,120,120,123,271,296,293
ZCTA5 05154,05154,27,24,28,45,52,41,0,0,8,72,76,77,171,182,147,243,258,224
ZCTA5 05155,05155,59,49,60,137,173,195,8,0,4,204,222,259,126,114,81,330,336,340
ZCTA5 05156,05156,533,525,355,1811,1988,1797,118,168,166,2462,2681,2318,1462,1330,1458,3924,4011,3776
ZCTA5 05158,05158,45,21,17,235,257,254,4,10,7,284,288,278,145,125,140,429,413,418
ZCTA5 05161,05161,43,36,39,99,124,116,16,9,6,158,169,161,130,130,120,288,299,281
ZCTA5 05201,05201,385,399,431,2639,2594,2531,270,241,254,3294,3234,3216,2690,2935,2945,5984,6169,6161
ZCTA5 05250,05250,87,76,103,606,730,664,47,45,36,740,851,803,587,622,656,1327,1473,1459
ZCTA5 05251,05251,66,52,52,189,212,245,14,3,11,269,267,308,357,261,256,626,528,564
ZCTA5 05252,05252,33,54,51,113,105,86,0,4,8,146,163,145,25,31,39,171,194,184
ZCTA5 05253,05253,38,51,55,47,56,57,13,19,11,98,126,123,159,166,168,257,292,291
ZCTA5 05254,05254,10,10,9,36,33,30,0,13,14,46,56,53,103,105,116,149,161,169
ZCTA5 05255,05255,156,129,139,455,424,432,83,67,68,694,620,639,1121,1022,943,1815,1642,1582
ZCTA5 05257,05257,67,51,46,369,366,365,49,68,35,485,485,446,461,405,397,946,890,843
ZCTA5 05260,05260,10,0,0,94,68,102,12,12,13,116,80,115,51,37,37,167,117,152
ZCTA5 05261,05261,164,170,172,264,297,372,17,24,30,445,491,574,375,305,315,820,796,889
ZCTA5 05262,05262,53,77,107,207,196,208,0,0,0,260,273,315,495,420,418,755,693,733
ZCTA5 05301,05301,736,611,645,2751,2868,2945,243,203,177,3730,3682,3767,3658,3837,3823,7388,7519,7590
ZCTA5 05340,05340,18,23,32,75,88,98,25,22,33,118,133,163,154,176,141,272,309,304
ZCTA5 05341,05341,43,47,23,56,63,135,22,18,20,121,128,178,126,116,111,247,244,289
ZCTA5 05342,05342,14,15,16,146,89,83,30,29,9,190,133,108,42,84,55,232,217,163
ZCTA5 05343,05343,68,68,57,164,179,163,0,0,0,232,247,220,198,212,242,430,459,462
ZCTA5 05344,05344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 05345,05345,115,103,107,379,378,406,30,29,23,524,510,536,266,249,229,790,759,765
ZCTA5 05346,05346,235,170,210,1214,1246,1216,60,42,52,1509,1458,1478,489,553,586,1998,2011,2064
ZCTA5 05350,05350,51,50,50,131,142,147,42,44,37,224,236,234,90,113,136,314,349,370
ZCTA5 05351,05351,27,4,10,94,88,75,1,0,0,122,92,85,27,16,22,149,108,107
ZCTA5 05352,05352,42,32,26,153,185,188,27,19,22,222,236,236,129,140,124,351,376,360
ZCTA5 05353,05353,79,85,61,279,229,248,16,26,19,374,340,328,195,214,198,569,554,526
ZCTA5 05354,05354,65,73,64,388,456,446,64,55,74,517,584,584,359,336,363,876,920,947
ZCTA5 05355,05355,35,49,37,155,143,151,20,0,2,210,192,190,97,88,113,307,280,303
ZCTA5 05356,05356,19,18,11,104,93,72,10,6,21,133,117,104,190,278,240,323,395,344
ZCTA5 05358,05358,24,9,6,75,89,104,0,0,0,99,98,110,42,47,35,141,145,145
ZCTA5 05359,05359,24,23,30,124,152,149,5,2,5,153,177,184,79,81,102,232,258,286
ZCTA5 05360,05360,15,8,6,37,45,58,0,0,2,52,53,66,67,73,51,119,126,117
ZCTA5 05361,05361,22,19,27,182,172,157,12,13,13,216,204,197,155,141,147,371,345,344
ZCTA5 05362,05362,47,30,22,42,38,44,8,3,3,97,71,69,33,23,23,130,94,92
