zip_code,year,walkability_category,active_license_count,category_weight
60603,2001,industrial_or_logistics,1,-2
60603,2001,local_retail_and_commercial_services,2,2
60603,2001,personal_and_health_services,1,2
60603,2001,restaurants_and_social_life,6,18
60603,2001,uncategorized,28,0
60603,2002,community_and_entertainment,13,26
60603,2002,fresh_food_and_daily_needs,175,525
60603,2002,home_based_or_non_storefront,1,0
60603,2002,industrial_or_logistics,9,-18
60603,2002,local_retail_and_commercial_services,28,28
60603,2002,personal_and_health_services,9,18
60603,2002,restaurants_and_social_life,108,324
60603,2002,uncategorized,641,0
60603,2003,community_and_entertainment,27,54
60603,2003,fresh_food_and_daily_needs,338,1014
60603,2003,home_based_or_non_storefront,2,0
60603,2003,industrial_or_logistics,19,-38
60603,2003,local_retail_and_commercial_services,51,51
60603,2003,personal_and_health_services,15,30
60603,2003,restaurants_and_social_life,166,498
60603,2003,uncategorized,1217,0
60603,2004,community_and_entertainment,44,88
60603,2004,fresh_food_and_daily_needs,424,1272
60603,2004,home_based_or_non_storefront,4,0
60603,2004,industrial_or_logistics,24,-48
60603,2004,local_retail_and_commercial_services,66,66
60603,2004,personal_and_health_services,18,36
60603,2004,restaurants_and_social_life,134,402
60603,2004,uncategorized,1653,0
60603,2005,auto_oriented,1,-3
60603,2005,community_and_entertainment,32,64
60603,2005,fresh_food_and_daily_needs,343,1029
60603,2005,home_based_or_non_storefront,13,0
60603,2005,industrial_or_logistics,18,-36
60603,2005,local_retail_and_commercial_services,47,47
60603,2005,personal_and_health_services,14,28
60603,2005,restaurants_and_social_life,128,384
60603,2005,uncategorized,1210,0
60603,2006,auto_oriented,2,-6
60603,2006,community_and_entertainment,30,60
60603,2006,fresh_food_and_daily_needs,351,1053
60603,2006,home_based_or_non_storefront,17,0
60603,2006,industrial_or_logistics,21,-42
60603,2006,local_retail_and_commercial_services,42,42
60603,2006,personal_and_health_services,14,28
60603,2006,restaurants_and_social_life,144,432
60603,2006,uncategorized,1255,0
60603,2007,auto_oriented,2,-6
60603,2007,community_and_entertainment,33,66
60603,2007,fresh_food_and_daily_needs,345,1035
60603,2007,home_based_or_non_storefront,21,0
60603,2007,industrial_or_logistics,22,-44
60603,2007,local_retail_and_commercial_services,41,41
60603,2007,personal_and_health_services,12,24
60603,2007,restaurants_and_social_life,153,459
60603,2007,uncategorized,1257,0
60603,2008,auto_oriented,6,-18
60603,2008,community_and_entertainment,40,80
60603,2008,fresh_food_and_daily_needs,315,945
60603,2008,home_based_or_non_storefront,25,0
60603,2008,industrial_or_logistics,21,-42
60603,2008,local_retail_and_commercial_services,44,44
60603,2008,personal_and_health_services,12,24
60603,2008,restaurants_and_social_life,142,426
60603,2008,uncategorized,1326,0
60603,2009,auto_oriented,6,-18
60603,2009,community_and_entertainment,34,68
60603,2009,fresh_food_and_daily_needs,206,618
60603,2009,home_based_or_non_storefront,14,0
60603,2009,industrial_or_logistics,10,-20
60603,2009,local_retail_and_commercial_services,31,31
60603,2009,personal_and_health_services,6,12
60603,2009,restaurants_and_social_life,101,303
60603,2009,uncategorized,850,0
60603,2010,auto_oriented,10,-30
60603,2010,community_and_entertainment,43,86
60603,2010,fresh_food_and_daily_needs,316,948
60603,2010,home_based_or_non_storefront,23,0
60603,2010,industrial_or_logistics,21,-42
60603,2010,local_retail_and_commercial_services,48,48
60603,2010,personal_and_health_services,13,26
60603,2010,restaurants_and_social_life,169,507
60603,2010,uncategorized,1434,0
60603,2011,auto_oriented,14,-42
60603,2011,community_and_entertainment,41,82
60603,2011,fresh_food_and_daily_needs,213,639
60603,2011,home_based_or_non_storefront,11,0
60603,2011,industrial_or_logistics,12,-24
60603,2011,local_retail_and_commercial_services,31,31
